model	model_structure	hierarchy	k_depth	family	brms_family	divergences	max_treedepth	max_rhat	max_rhat_parameter	min_bulk_ess	min_bulk_ess_parameter	min_tail_ess	min_tail_ess_parameter	passes_mcmc_screen
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	gamma;gamma	0	11	1.00406473788716	r_h1__y2_logk[EBF,Intercept]	734.560267076425	b_y2_logk_Intercept	1083.87726696937	sd_h1__y1m1_logL_Intercept	TRUE
PFT_sp_k1_lognormal	PFT_sp_k1	PFT_sp	k1	lognormal	lognormal;lognormal	0	10	1.00868010441773	sd_h2__y2_logA_Intercept	1042.08963299346	sd_h2__y2_logA_Intercept	1825.23878880106	b_y2_logL_Intercept	TRUE
PFT_sp_k1_student	PFT_sp_k1	PFT_sp	k1	student	student;student	28	8	1.0028169043698	z_2[1,4]	1448.13143823879	lp__	1924.12266621109	sd_h1__z2_logL_Intercept	FALSE
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	gamma;gamma	0	10	1.00574354880038	b_y2_logk_Intercept	836.781656780336	sd_h2__y2_logA_Intercept	1000.57731171497	sd_h2__y1m1_logk_Intercept	TRUE
PFT_sp_k2_lognormal	PFT_sp_k2	PFT_sp	k2	lognormal	lognormal;lognormal	0	9	1.01025496759161	b_y2_logL_Intercept	522.308984328529	sd_h2__y1m1_logk_Intercept	277.066256078489	r_h2__y1m1_logk[EBF.QG,Intercept]	FALSE
PFT_sp_k2_student	PFT_sp_k2	PFT_sp	k2	student	student;student	49	9	1.00323353045578	z_4[1,12]	1705.23718947534	lp__	3072.49292502848	sd_h1__z1_logk_Intercept	FALSE
sp_k0_gamma	sp_k0	sp	k0	gamma	gamma;gamma	0	9	1.00590718464995	b_y1m1_logL_Intercept	590.005768758545	b_y2_logk_Intercept	490.818135869213	r_h1__y2_logL[CJa,Intercept]	TRUE
sp_k0_lognormal	sp_k0	sp	k0	lognormal	lognormal;lognormal	0	7	1.00271076733009	z_4[1,10]	1683.65749998346	lp__	3161.63337871589	lp__	TRUE
sp_k0_student	sp_k0	sp	k0	student	student;student	0	7	1.00412122886678	lp__	1584.18117928111	lp__	3007.54355288559	lp__	TRUE
sp_k1_gamma	sp_k1	sp	k1	gamma	gamma;gamma	0	9	1.00388956989005	sd_h1__y2_logk_Intercept	722.825754789258	b_y2_logk_Intercept	1025.06185976712	sd_h1__y2_logL_Intercept	TRUE
sp_k1_lognormal	sp_k1	sp	k1	lognormal	lognormal;lognormal	2	8	1.00317832621048	r_h1__y2_logL[QG,Intercept]	1897.5624152703	lp__	3497.02886168692	lp__	FALSE
sp_k1_student	sp_k1	sp	k1	student	student;student	0	7	1.00313402013706	z_4[1,9]	1542.60592320322	lp__	3172.62564141053	lp__	TRUE
