model	model_structure	hierarchy	k_depth	family	brms_family	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
ftp_k0_lognormal	ftp_k0	ftp	k0	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	1.00562636664862	-0.563409757645	0.627311339005239	0.216167217169916	0.0438931297709924	0.0400763358778626	0.0209923664122137
ftp_k0_student	ftp_k0	ftp	k0	student	student;student	befr.st	524	0.442216609003624	1.00273320047724	-0.560516591473614	0.62452746021411	0.188980843199646	0.049618320610687	0.0477099236641221	0.0190839694656489
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.37990228371233	0.0611590443273842	0.318517292316643	0.75499302160619	0.0865724381625442	0.0865724381625442	0.049469964664311
ftp_k1_lognormal	ftp_k1	ftp	k1	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	2.00594165893551	-0.564880330895798	0.666591781771876	0.129015355766275	0.0759717314487632	0.073321554770318	0.0141342756183746
ftp_k1_student	ftp_k1	ftp	k1	student	student;student	befa.st	1132	1.44106132803971	2.00463712696486	-0.563575798925144	0.663922478724918	0.114628574213639	0.0680212014134276	0.0671378091872792	0.0176678445229682
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.406840434982611	0.035376174021013	0.259026182188556	0.743787297581676	0.0916030534351145	0.0916030534351145	0.0534351145038168
ftp_k1_lognormal	ftp_k1	ftp	k1	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	1.00650606590065	-0.564289456897027	0.626533658136295	0.213647992264692	0.0477099236641221	0.0477099236641221	0.0229007633587786
ftp_k1_student	ftp_k1	ftp	k1	student	student;student	befr.st	524	0.442216609003624	1.00325076609746	-0.561034157093833	0.62480441704089	0.192719111857803	0.0477099236641221	0.0477099236641221	0.0209923664122137
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	gamma;gamma	befa.st	1132	1.44106132803971	1.39578176560747	0.0452795624322388	0.264077913495824	0.715661632557051	0.0989399293286219	0.0962897526501767	0.0441696113074205
ftp_sp_k0_lognormal	ftp_sp_k0	ftp_sp	k0	lognormal	lognormal;lognormal	befa.st	1132	1.44106132803971	2.00290243712408	-0.561841109084367	0.664367993453543	0.127801218755517	0.073321554770318	0.073321554770318	0.0176678445229682
ftp_sp_k0_student	ftp_sp_k0	ftp_sp	k0	student	student;student	befa.st	1132	1.44106132803971	2.00289738163956	-0.561836053599849	0.666223947936692	0.114093501971943	0.0724381625441696	0.0680212014134276	0.0176678445229682
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	gamma;gamma	befr.st	524	0.442216609003624	0.413639563361231	0.0285770456423929	0.225626184747891	0.711220130590365	0.0687022900763359	0.0687022900763359	0.0362595419847328
ftp_sp_k0_lognormal	ftp_sp_k0	ftp_sp	k0	lognormal	lognormal;lognormal	befr.st	524	0.442216609003624	1.00667452778039	-0.564457918776764	0.625932985031844	0.214414356913688	0.0534351145038168	0.049618320610687	0.0190839694656489
ftp_sp_k0_student	ftp_sp_k0	ftp_sp	k0	student	student;student	befr.st	524	0.442216609003624	1.00505642224715	-0.562839813243523	0.626640534687893	0.194688824937107	0.0515267175572519	0.0477099236641221	0.0209923664122137
