run_id	model	model_structure	hierarchy	k_depth	family	model_file	model_time	model_file_size	brms_family	n_rows	response_columns
20260713195804	PFT_sp_k0_student	PFT_sp_k0	PFT_sp	k0	student	bayes_outputs/xp_PFT-sp_code_k0_stud_rsd_4-4k-99-15.rds	2026-06-17 21:49:30	52083429	student;student	1132	z1,x,h1,h2,z2
20260713195804	PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	bayes_outputs/xp_PFT-sp_code_k1_gamma_rsd_4-4k-99-15.rds	2026-07-09 07:26:29	52378278	gamma;gamma	1132	y1m1,x,h1,h2,y2
20260713195804	PFT_sp_k1_lognormal	PFT_sp_k1	PFT_sp	k1	lognormal	bayes_outputs/xp_PFT-sp_code_k1_lognormal_rsd_4-4k-99-15.rds	2026-07-09 07:17:35	52373769	lognormal;lognormal	1132	y1m1,x,h1,h2,y2
20260713195804	PFT_sp_k1_student	PFT_sp_k1	PFT_sp	k1	student	bayes_outputs/xp_PFT-sp_code_k1_stud_rsd_4-4k-99-15.rds	2026-06-17 22:14:17	53196061	student;student	1132	z1,x,h1,h2,z2
20260713195804	PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	bayes_outputs/xp_PFT-sp_code_k2_gamma_rsd_4-4k-99-15.rds	2026-07-09 07:19:22	57892957	gamma;gamma	1132	y1m1,x,h1,h2,y2
20260713195804	PFT_sp_k2_lognormal	PFT_sp_k2	PFT_sp	k2	lognormal	bayes_outputs/xp_PFT-sp_code_k2_lognormal_rsd_4-4k-99-15.rds	2026-07-09 07:02:51	57891622	lognormal;lognormal	1132	y1m1,x,h1,h2,y2
20260713195804	PFT_sp_k2_student	PFT_sp_k2	PFT_sp	k2	student	bayes_outputs/xp_PFT-sp_code_k2_stud_rsd_4-4k-99-15.rds	2026-06-17 22:19:19	58719290	student;student	1132	z1,x,h1,h2,z2
20260713195804	sp_k0_gamma	sp_k0	sp	k0	gamma	bayes_outputs/xp_sp_code_k0_gamma_rsd_4-4k-99-15.rds	2026-06-18 12:04:21	49059837	gamma;gamma	1132	y1m1,x,h1,y2
20260713195804	sp_k0_lognormal	sp_k0	sp	k0	lognormal	bayes_outputs/xp_sp_code_k0_lognormal_rsd_4-4k-99-15.rds	2026-06-18 01:21:21.006748	49145025	lognormal;lognormal	1132	y1m1,x,h1,y2
20260713195804	sp_k0_student	sp_k0	sp	k0	student	bayes_outputs/xp_sp_code_k0_stud_rsd_4-4k-99-15.rds	2026-06-17 20:56:20	49885099	student;student	1132	z1,x,h1,z2
20260713195804	sp_k1_gamma	sp_k1	sp	k1	gamma	bayes_outputs/xp_sp_code_k1_gamma_rsd_4-4k-99-15.rds	2026-06-18 12:56:34	54573113	gamma;gamma	1132	y1m1,x,h1,y2
20260713195804	sp_k1_lognormal	sp_k1	sp	k1	lognormal	bayes_outputs/xp_sp_code_k1_lognormal_rsd_4-4k-99-15.rds	2026-06-18 01:20:14.939936	54652078	lognormal;lognormal	1132	y1m1,x,h1,y2
20260713195804	sp_k1_student	sp_k1	sp	k1	student	bayes_outputs/xp_sp_code_k1_stud_rsd_4-4k-99-15.rds	2026-06-17 21:05:44	55392266	student;student	1132	z1,x,h1,z2
