ext_no	num_t	p_size	qm.dbh	sd	sp	lati.	long.	alti.	slope	azimuth	m.age	cv.age	maxh1	maxh2	sp.k
104	56	0.04	0.204839527784208	1400	CO	35.16	128.45	333	12	120	35.2	0.0139175553567226	17.4	17.76	편백
105	27	0.04	0.192352685334922	675	CO	34.69	127.02	420	10	60	35	0.018070158058105	17.7	15.98	편백
106	61	0.04	0.134020551396871	1525	CO	34.97	127.3	440	5	200	26	0.012162606385263	12	12.57	편백
107	15	0.04	0.147829180700789	375	CO	34.91	127.28	190	5	0	18.2	0.0320381972244247	6.4	6.95	편백
108	49	0.04	0.160756692817793	1225	QM	36.02	128.16	390	43	350	40	0.0627495019900557	13	13.54	신갈나무
109	23	0.04	0.265788408815865	575	CJ	34.96	127.31	385	15	270	39	0.0697511308140279	23.9	22.2	삼나무
110	52	0.04	0.153315913168755	1300	CJ	35.16	128.1	64	25	130	27.6	0.0217391304347826	18.7	16.6	삼나무
111	74	0.04	0.188019550449817	1850	CJ	34.7	126.96	152	15	300	45.4	0.0593488704198567	18.7	18.1	삼나무
112	50	0.04	0.113912246927185	1250	CJ	34.34	126.59	67	15	300	17.6	0.0227272727272727	12.6	9.6	삼나무
113	60	0.04	0.137099051783738	1500	QM	36.45	127.95	590	12	270	42.8	0.0114462137513233	16.5	15.72	신갈나무
114	29	0.04	0.113139066090639	725	PD	35.11	126.56	120	23	270	38.8	0.0824742268041237	8.9	10.3	중부지방소나무
115	20	0.01	0.100479351112554	2000	PD	35.15	126.57	130	25	135	19.4	0.0126262357875422	8	8.5	중부지방소나무
116	29	0.04	0.24045581714735	725	PD	35.29	126.6	150	7	270	52.2	0.026682736163188	19.1	18.5	중부지방소나무
117	39	0.04	0.14892236834966	975	QM	36.72	128.92	468	42	80	34.4	0.0299291573865901	12.3	13.3	신갈나무
118	31	0.04	0.177173051908524	775	QM	37.78	126.95	230	35	240	52	0.0550685425510629	13.6	15	신갈나무
