ext_no	sp	dbh	h	plot_size
3	붉가시나무	8.4	8	0.02
3	붉가시나무	8.6	8.1	0.02
3	붉가시나무	20.3	11.6	0.02
3	붉가시나무	13.3	9.7	0.02
3	붉가시나무	7.9	7.8	0.02
3	붉가시나무	14	9.9	0.02
3	붉가시나무	7.2	7.5	0.02
3	붉가시나무	11.9	9.3	0.02
3	붉가시나무	6.9	7.4	0.02
4	붉가시나무	4.8	5.4	0.01
4	붉가시나무	5.3	5.5	0.01
4	붉가시나무	7.1	5.8	0.01
4	붉가시나무	4.6	5.4	0.01
4	붉가시나무	5.4	5.5	0.01
4	붉가시나무	4.5	5.3	0.01
4	붉가시나무	4.5	5.3	0.01
4	붉가시나무	5.5	5.5	0.01
4	붉가시나무	5.5	5.5	0.01
4	붉가시나무	4.4	5.3	0.01
4	붉가시나무	5.4	5.5	0.01
4	붉가시나무	6.4	5.7	0.01
4	붉가시나무	6	5.6	0.01
4	붉가시나무	7.1	5.8	0.01
4	붉가시나무	6.3	5.7	0.01
4	붉가시나무	6	5.6	0.01
4	붉가시나무	4.4	5.3	0.01
4	붉가시나무	7.5	5.9	0.01
4	붉가시나무	3.2	5	0.01
4	붉가시나무	4.7	5.4	0.01
4	붉가시나무	4.8	5.4	0.01
4	붉가시나무	5.6	5.6	0.01
4	붉가시나무	4.5	5.3	0.01
4	붉가시나무	3.8	5.2	0.01
4	붉가시나무	7	5.8	0.01
4	붉가시나무	3.3	5	0.01
4	붉가시나무	6.2	5.7	0.01
4	붉가시나무	6.2	5.7	0.01
4	붉가시나무	6.2	5.7	0.01
4	붉가시나무	6.3	5.7	0.01
4	붉가시나무	5.4	5.5	0.01
4	붉가시나무	5.4	5.5	0.01
4	붉가시나무	6	5.6	0.01
4	붉가시나무	6.1	5.6	0.01
4	붉가시나무	5.5	5.5	0.01
4	붉가시나무	4.4	5.3	0.01
4	붉가시나무	7.9	5.9	0.01
4	붉가시나무	6.1	5.6	0.01
5	서어나무	6	8.4	0.01
5	굴피나무	17.5	12.7	0.01
5	낙엽송	22.6	14	0.01
5	굴참나무	12.9	11.3	0.01
5	굴참나무	11.9	11	0.01
5	굴참나무	14.3	11.8	0.01
5	굴참나무	16.8	12.5	0.01
5	졸참나무	10.5	10.4	0.01
5	졸참나무	15.5	12.1	0.01
5	졸참나무	10.1	10.3	0.01
5	졸참나무	11	10.6	0.01
5	졸참나무	11.8	10.9	0.01
5	졸참나무	12.5	11.2	0.01
5	졸참나무	11.6	10.9	0.01
5	졸참나무	8.2	9.5	0.01
5	졸참나무	18.4	12.9	0.01
6	졸참나무	13.9	12.8	0.04
6	졸참나무	22.9	13.2	0.04
6	졸참나무	17	13	0.04
6	중부지방소나무	20.3	13.1	0.04
6	졸참나무	16.8	13	0.04
6	붉가시나무	8	12.4	0.04
6	졸참나무	8.1	12.4	0.04
6	졸참나무	9.9	12.5	0.04
6	붉가시나무	9.8	12.5	0.04
6	졸참나무	14.3	12.8	0.04
6	붉가시나무	6.9	12.2	0.04
6	졸참나무	10.5	12.6	0.04
6	중부지방소나무	16.5	13	0.04
6	붉가시나무	10.6	12.6	0.04
6	붉가시나무	8	12.4	0.04
6	졸참나무	13.5	12.8	0.04
6	졸참나무	10.8	12.6	0.04
6	졸참나무	24.3	13.3	0.04
6	졸참나무	22.5	13.2	0.04
