ext_no	sp	plot	no	age	dbh	h	Mst	br	leaf	cr	wd	Vst	Vst.5
184	PR	8	1	38	0.179	15.000	81.587	16.862	2.813	NA	0.454	0.196622	0.084907
184	PR	8	2	37	0.196	17.600	109.949	9.017	4.177	78.05	0.418	0.279980	0.117161
184	PR	8	3	35	0.204	16.800	119.322	51.155	9.005	NA	0.457	0.273273	0.224053
184	PR	8	4	39	0.232	18.100	169.821	53.893	12.853	146.933	0.437	0.415476	0.199520
184	PR	8	5	36	0.237	19.000	194.148	41.376	13.413	165.714	0.409	0.471749	0.278735
179	PR	9	1	35	0.158	17.000	79.545	10.539	6.893	30.635	0.452	0.185116	0.034775
179	PR	9	2	35	0.173	14.100	90.257	21.810	9.116	82.414	0.580	0.166148	0.071939
179	PR	9	3	38	0.185	15.600	73.812	7.243	2.496	82.833	0.402	0.205381	0.062711
179	PR	9	4	39	0.205	19.000	141.556	47.301	8.185	113.159	0.442	0.329865	0.117717
179	PR	9	5	38	0.216	17.900	148.545	26.227	8.682	NA	0.451	0.343107	0.206439
176	PR	10	1	39	0.180	15.100	95.071	12.113	4.937	NA	0.510	0.194063	0.021285
176	PR	10	2	42	0.189	14.100	91.194	17.020	6.111	52.713	0.524	0.190092	0.069009
176	PR	10	3	38	0.205	16.800	104.495	8.941	4.153	NA	0.401	0.287814	0.082103
176	PR	10	4	40	0.209	16.000	133.763	15.424	5.681	45.395	0.493	0.287215	0.132218
176	PR	10	5	41	0.218	16.900	140.338	21.015	7.713	62.626	0.421	0.348568	0.191290
175	PR	11	1	39	0.179	14.600	86.377	14.222	2.052	NA	0.486	0.196721	0.237233
175	PR	11	2	39	0.211	15.200	107.309	14.806	5.760	75.381	0.382	0.287160	0.290524
175	PR	11	3	40	0.224	15.900	139.007	25.831	8.632	NA	0.443	0.318866	0.166241
175	PR	11	4	40	0.270	16.700	182.908	21.154	9.307	118.88	0.424	0.477446	0.147440
175	PR	11	5	44	0.374	18.400	440.459	108.715	19.175	244.29	0.488	0.963159	0.229421
59	LT	1	1	31	0.306	26.600	323.175	49.715	4.804	53.159	0.361	0.912700	0.803302
59	LT	1	2	30	0.334	22.700	276.072	21.532	3.662	NA	0.370	0.767346	0.661238
59	LT	1	3	31	0.345	23.000	516.141	96.151	12.636	153.856	0.633	0.849331	0.733377
59	LT	1	4	31	0.387	26.250	414.100	49.251	10.862	NA	0.378	1.071214	0.973370
59	LT	1	5	30	0.372	26.400	516.637	60.062	10.000	159.764	0.425	1.245978	1.108007
56	LT	2	1	30	0.240	23.900	164.071	17.618	1.951	30.967	0.370	0.452844	0.389716
56	LT	2	2	33	0.260	25.100	257.613	29.529	3.922	NA	0.421	0.637889	0.541265
56	LT	2	3	31	0.275	23.900	230.165	32.329	3.613	49.646	0.365	0.651705	0.566495
56	LT	2	4	33	0.273	23.100	314.874	43.601	7.470	NA	0.502	0.663106	0.552842
56	LT	2	5	34	0.298	25.100	343.632	59.050	6.425	58.791	0.432	0.825364	0.725883
55	LT	3	1	32	0.197	18.200	105.382	13.780	4.212	18.961	0.424	0.250496	0.206505
55	LT	3	2	32	0.209	21.300	110.977	8.571	3.483	NA	0.422	0.268250	0.226019
55	LT	3	3	32	0.216	14.800	78.948	5.900	1.355	16.696	0.377	0.213587	0.178562
55	LT	3	4	32	0.230	19.100	132.843	17.788	4.726	NA	0.393	0.345269	0.290120
55	LT	3	5	30	0.230	21.800	149.725	13.712	3.486	19.855	0.411	0.366258	0.313946
54	LT	4	1	12	0.154	15.800	52.502	5.228	2.685	25.362	0.459	0.117475	0.098795
54	LT	4	2	12	0.156	17.050	64.790	8.200	3.481	NA	0.429	0.154657	0.134457
54	LT	4	3	13	0.169	17.700	71.265	8.724	2.990	18.309	0.412	0.178622	0.154184
54	LT	4	4	12	0.177	16.300	64.082	10.809	4.555	NA	0.381	0.166351	0.148438
54	LT	4	5	13	0.194	19.450	81.249	9.550	4.432	26.168	0.356	0.232583	0.203039
53	LT	5	1	8	0.059	6.600	3.887	0.827	0.559	0.366	0.426	0.009258	0.007538
53	LT	5	2	10	0.085	7.900	9.109	2.916	2.355	NA	0.474	0.020663	0.015709
53	LT	5	3	10	0.103	9.700	14.220	6.866	3.382	11.85	0.434	0.034897	0.028276
53	LT	5	4	10	0.118	10.900	20.736	7.138	3.743	NA	0.405	0.053677	0.044856
53	LT	5	5	10	0.142	10.400	30.703	15.985	6.898	15.992	0.488	0.065335	0.054385
49	QAt	1	1	34	0.111	14.400	72.001	4.314	1.777	NA	0.907	0.078902	0.070671
49	QAt	1	2	29	0.109	13.900	65.351	7.863	1.577	9.802	1.076	0.062389	0.056066
49	QAt	1	3	39	0.145	14.100	97.401	15.962	3.629	NA	0.854	0.115976	0.106301
49	QAt	1	4	42	0.170	13.700	155.723	34.579	0.337	NA	1.020	0.155413	0.138998
49	QAt	1	5	46	0.230	17.000	248.965	168.000	9.184	82.894	1.128	0.225806	0.207325
3	QAt	7	2	23	0.067	6.000	7.534	2.816	0.472	2.328	0.655	0.011909	0.010603
3	QAt	7	3	33	0.191	10.600	82.820	60.705	10.121	14.095	0.691	0.132450	0.110529
3	QAt	7	4	33	0.107	10.800	31.632	4.680	1.535	7.047	0.738	0.050884	0.039504
48	QAt	2	1	11	0.039	6.900	6.852	0.601	0.315	NA	1.422	0.005296	0.004609
48	QAt	2	2	27	0.074	9.100	22.018	4.013	1.114	NA	1.108	0.020120	0.017701
48	QAt	2	3	20	0.055	8.100	10.470	2.546	0.740	NA	0.963	0.010515	0.009829
48	QAt	2	4	23	0.066	8.100	16.299	3.955	1.010	3.932	1.102	0.014748	0.012981
48	QAt	2	5	26	0.085	14.900	39.215	1.722	0.728	6.965	0.923	0.042393	0.038254
2	QAt	8	1	30	0.197	11.300	33.531	48.032	6.934	33.924	0.300	0.114573	0.103011
2	QAt	8	3	30	0.171	11.940	93.569	48.411	8.177	29.449	0.657	0.148083	0.131378
2	QAt	8	4	30	0.148	10.600	61.597	16.588	9.328	15.812	0.654	0.098243	0.086797
2	QAt	8	5	31	0.198	11.900	125.812	65.371	11.684	34.229	0.662	0.190300	0.175352
47	QAt	5	1	22	0.071	7.900	18.731	2.955	0.380	NA	1.198	0.016431	0.014665
47	QAt	5	2	25	0.129	10.500	74.812	19.383	4.551	21.319	1.129	0.067631	0.058486
47	QAt	5	3	36	0.125	12.300	76.877	11.403	1.818	NA	1.006	0.076601	0.071629
47	QAt	5	4	33	0.180	11.700	126.214	68.982	10.167	NA	1.069	0.118962	0.107614
47	QAt	5	5	36	0.228	12.600	217.303	136.733	18.135	104.942	0.956	0.227104	0.205916
1	QAt	6	1	24	0.097	8.900	21.913	9.585	1.900	6.674	0.729	0.033280	0.027728
1	QAt	6	2	31	0.154	10.000	54.350	21.741	2.540	21.083	0.645	0.092256	0.077657
1	QAt	6	3	50	0.229	13.600	160.724	106.280	7.621	60.21	0.667	0.251747	0.222334
1	QAt	6	4	36	0.203	11.900	71.586	27.453	5.523	20.076	0.403	0.198697	0.163839
1	QAt	6	5	56	0.356	14.500	416.734	462.556	43.753	128.963	0.770	0.553208	0.498856
46	QAt	3	1	20	0.080	12.300	22.429	4.090	0.990	NA	0.809	0.028714	0.025628
46	QAt	3	2	37	0.105	11.000	53.781	10.445	2.200	9.315	1.049	0.051956	0.047067
46	QAt	3	3	41	0.188	14.900	181.595	60.794	10.102	NA	0.838	0.221408	0.202395
46	QAt	3	4	32	0.223	12.900	265.019	125.459	23.427	100.527	1.128	0.246171	0.220149
46	QAt	3	5	41	0.230	13.000	248.014	153.476	21.716	NA	1.088	0.230140	0.211952
4	QAt	4	1	10	0.056	5.900	5.376	3.181	1.610	0.226	0.677	0.008102	0.007321
4	QAt	4	2	10	0.070	5.300	6.909	8.933	4.484	3.56	0.735	0.010396	0.008665
4	QAt	4	3	10	0.062	5.600	5.858	2.875	1.535	2.776	0.633	0.009931	0.008539
4	QAt	4	4	10	0.056	6.300	4.986	1.560	1.207	1.998	0.611	0.008546	0.007524
4	QAt	4	5	10	0.045	4.800	2.701	1.184	0.669	1.148	0.656	0.004213	0.003797
38	CJ	1	1	35	0.119	9.200	28.406	2.848	1.360	NA	0.565	0.049493	0.046304
38	CJ	1	2	38	0.158	11.200	51.286	5.550	7.233	15.908	0.509	0.101025	0.093830
38	CJ	1	3	42	0.238	16.900	134.942	2.820	1.967	NA	0.444	0.302208	0.291283
38	CJ	1	4	36	0.253	15.200	135.675	28.401	26.380	NA	0.393	0.334661	0.316059
38	CJ	1	5	40	0.325	21.200	444.704	49.954	7.291	NA	0.546	0.798624	0.763396
112	CJ	2	1	18	0.077	7.200	9.132	4.635	1.852	NA	0.456	0.019196	0.042355
112	CJ	2	2	18	0.099	7.400	13.321	4.414	9.776	7.432	0.373	0.034129	0.050865
112	CJ	2	3	18	0.153	9.600	36.393	7.864	13.006	NA	0.391	0.092300	0.094257
112	CJ	2	4	16	0.150	9.300	30.501	6.153	13.000	14.995	0.379	0.078977	0.147375
112	CJ	2	5	18	0.159	9.500	34.625	6.785	20.790	NA	0.389	0.085624	0.197853
110	CJ	3	1	26	0.120	11.400	31.236	4.060	6.214	NA	0.390	0.078800	0.110814
110	CJ	3	2	27	0.128	14.100	33.698	8.015	5.660	14.951	0.383	0.086314	0.197851
110	CJ	3	3	29	0.150	15.400	52.319	7.621	19.826	NA	0.392	0.131101	0.555048
110	CJ	3	4	27	0.166	15.700	82.519	10.011	17.331	35.2	0.439	0.184664	0.059588
110	CJ	3	5	29	0.205	16.600	78.662	7.059	14.674	NA	0.288	0.268444	0.382812
111	CJ	4	1	38	0.110	14.600	30.051	1.941	3.422	NA	0.474	0.064431	0.072127
111	CJ	4	2	49	0.142	15.100	51.356	4.718	10.213	23.387	0.438	0.118361	0.017447
111	CJ	4	3	41	0.191	15.200	113.487	12.018	34.658	NA	0.538	0.212413	0.031331
111	CJ	4	4	53	0.230	17.400	179.456	13.327	28.050	57.859	0.440	0.413419	0.079415
111	CJ	4	5	46	0.327	18.100	183.777	20.894	42.475	NA	0.307	0.591918	0.085836
39	CJ	5	1	38	0.130	14.100	33.770	1.790	4.307	NA	0.392	0.085993	0.078103
39	CJ	5	2	35	0.159	12.200	48.892	8.130	4.174	10.203	0.357	0.136439	0.127639
39	CJ	5	3	38	0.216	15.900	94.696	11.786	21.046	NA	0.344	0.275335	0.257984
39	CJ	5	4	37	0.217	17.400	106.838	3.834	10.308	NA	0.348	0.307594	0.288275
39	CJ	5	5	37	0.332	19.900	256.477	28.557	35.173	NA	0.303	0.835906	0.796082
109	CJ	6	1	31	0.132	14.000	39.666	3.921	11.222	NA	0.412	0.094418	0.079989
109	CJ	6	2	38	0.191	15.900	82.442	21.409	31.996	38.163	0.345	0.233721	0.123387
109	CJ	6	3	36	0.223	16.000	85.428	14.743	12.248	NA	0.321	0.260166	0.173433
109	CJ	6	4	46	0.265	18.200	143.429	25.308	41.185	50.344	0.295	0.470836	0.254210
109	CJ	6	5	44	0.337	22.200	266.646	46.535	51.502	NA	0.299	0.860297	0.074492
157	CJ	7	1	32	0.127	12.100	38.503	7.121	5.003	7.815	0.429	0.085383	0.012828
157	CJ	7	2	33	0.155	12.500	42.369	13.736	9.046	14.771	0.315	0.127268	0.073209
157	CJ	7	3	32	0.165	13.900	56.333	10.518	7.739	NA	0.347	0.155932	0.035767
157	CJ	7	4	33	0.190	13.600	65.994	12.310	7.151	15.96	0.325	0.196297	0.026695
157	CJ	7	5	32	0.209	14.400	98.170	19.174	15.607	NA	0.362	0.263988	0.009652
85	CJ	8	1	18	0.088	8.100	10.866	4.108	2.467	3.797	0.429	0.024202	0.386062
85	CJ	8	2	18	0.117	8.500	17.781	4.430	2.976	4.574	0.355	0.048170	0.620344
85	CJ	8	3	18	0.118	9.500	22.159	5.630	5.042	8.727	0.398	0.052664	0.823173
85	CJ	8	4	18	0.137	9.600	29.953	4.676	4.749	6.837	0.354	0.078148	0.948682
85	CJ	8	5	18	0.148	9.600	31.706	8.794	6.894	10.368	0.348	0.085907	1.204747
84	CJ	9	1	47	0.251	21.600	181.710	16.811	9.237	NA	0.365	0.490462	0.022480
84	CJ	9	2	47	0.289	21.600	243.639	26.179	18.761	49.22	0.377	0.643700	0.044861
84	CJ	9	3	47	0.302	21.800	298.242	34.037	30.803	NA	0.393	0.759415	0.048401
84	CJ	9	4	46	0.337	22.200	305.428	34.608	19.212	83.738	0.341	0.868133	0.073447
84	CJ	9	5	46	0.393	23.100	408.127	60.853	32.674	NA	0.347	1.164353	0.082214
82	CJ	10	1	37	0.227	17.100	114.055	12.956	7.522	NA	0.335	0.333926	0.874710
82	CJ	10	2	36	0.250	17.000	123.307	16.259	8.675	32.061	0.314	0.389905	1.329408
82	CJ	10	3	37	0.257	18.100	151.368	17.838	15.035	NA	0.344	0.438892	0.605550
82	CJ	10	4	37	0.277	18.600	199.776	28.437	17.173	48.729	0.391	0.509811	0.469954
82	CJ	10	5	37	0.301	18.500	224.310	28.491	16.973	NA	0.354	0.627336	1.703832
83	CJ	11	1	69	0.337	22.600	133.787	32.253	16.547	58.514	0.145	0.916282	0.718504
83	CJ	11	2	69	0.378	24.100	526.476	40.345	20.894	106.705	0.375	1.383981	0.827466
83	CJ	11	3	69	0.463	24.600	724.950	95.692	44.869	141.695	0.406	1.791812	1.108862
68	QAc	1	1	28	0.078	10.500	15.308	0.065	0.094	NA	0.633	0.024074	0.046845
68	QAc	1	2	47	0.120	14.700	55.362	3.822	1.042	NA	0.783	0.084056	0.077356
68	QAc	1	3	51	0.132	15.340	56.867	9.139	2.079	25.451	0.705	0.088164	0.113878
68	QAc	1	4	46	0.192	17.600	63.942	36.582	7.616	108.27	0.195	0.227198	0.220099
68	QAc	1	5	46	0.204	19.800	246.284	20.533	9.711	NA	0.804	0.325621	0.227324
70	QAc	2	1	41	0.133	12.100	28.604	5.965	3.494	NA	0.249	0.078579	0.052196
70	QAc	2	2	31	0.204	12.900	142.584	54.407	14.490	NA	0.743	0.197207	0.091166
70	QAc	2	3	60	0.216	12.300	97.146	95.212	9.394	56.775	0.651	0.139718	0.193051
70	QAc	2	4	47	0.268	18.100	482.176	91.692	8.355	NA	1.204	0.421014	0.116375
70	QAc	2	5	57	0.289	17.900	585.078	175.586	18.029	70.917	1.040	0.566577	0.225673
73	QAc	3	1	20	0.112	11.500	40.730	9.638	4.678	NA	0.739	0.054526	0.000425
73	QAc	3	2	28	0.127	13.000	54.760	9.828	4.900	17.542	0.747	0.073170	0.000220
73	QAc	3	3	22	0.171	13.200	72.585	94.077	12.958	NA	0.547	0.141544	0.000304
73	QAc	3	4	25	0.173	14.700	109.343	25.633	7.953	36.538	0.680	0.163003	0.000535
73	QAc	3	5	21	0.166	16.400	128.571	39.045	11.764	NA	0.718	0.175670	0.000331
32	QAc	4	1	30	0.136	16.300	79.892	17.938	2.492	31.839	0.678	0.119594	0.098839
32	QAc	4	2	29	0.173	20.100	143.292	20.440	2.583	NA	0.646	0.217770	0.188718
32	QAc	4	3	32	0.187	19.500	145.704	39.252	8.977	NA	0.607	0.241408	0.196362
32	QAc	4	4	32	0.200	18.500	212.374	83.408	15.099	126.742	0.722	0.297177	0.240685
32	QAc	4	5	30	0.246	20.100	300.393	116.959	9.895	123.62	0.826	0.364076	0.311127
154	QAc	5	1	15	0.050	7.400	2.306	0.803	0.440	NA	0.284	0.007549	0.044371
154	QAc	5	2	13	0.064	8.300	5.004	2.374	1.054	5.804	0.284	0.015484	0.015146
154	QAc	5	3	20	0.078	10.400	12.750	3.123	1.557	NA	0.424	0.027062	0.015482
154	QAc	5	4	19	0.087	10.700	18.419	6.244	1.285	11.727	0.515	0.031131	0.034645
154	QAc	5	5	21	0.115	13.100	40.496	25.092	4.780	NA	0.512	0.072051	0.005768
150	QAc	6	1	23	0.066	7.750	11.376	1.620	0.280	NA	0.741	0.012966	0.559225
150	QAc	6	2	20	0.080	12.700	27.072	3.785	1.069	8.823	0.767	0.032307	0.099540
150	QAc	6	3	24	0.083	11.500	26.000	4.554	1.358	NA	0.734	0.030564	0.224197
150	QAc	6	4	29	0.115	14.750	63.311	13.327	2.702	20.623	0.723	0.078417	0.136884
150	QAc	6	5	29	0.147	14.200	77.585	27.475	4.282	NA	0.597	0.114610	0.049429
69	QAc	7	1	35	0.113	12.800	50.623	8.986	3.692	NA	0.815	0.061459	0.061456
69	QAc	7	2	27	0.141	11.200	76.412	28.462	6.652	41.174	0.780	0.099818	0.152358
69	QAc	7	3	27	0.179	10.300	59.822	60.564	9.590	NA	0.428	0.140565	0.470206
69	QAc	7	4	35	0.237	13.700	204.301	44.995	15.077	NA	0.749	0.272340	0.112679
69	QAc	7	5	32	0.251	13.700	153.068	104.933	19.677	48.339	0.567	0.279564	0.332516
71	QAc	8	1	21	0.114	12.800	48.362	9.014	2.771	NA	0.733	0.066612	0.010096
71	QAc	8	2	23	0.144	13.700	86.520	25.666	3.801	18.09	0.783	0.113493	0.017483
71	QAc	8	3	20	0.146	16.300	75.298	14.955	4.738	NA	0.536	0.135980	0.047869
71	QAc	8	4	22	0.200	15.800	135.909	66.707	15.021	NA	0.592	0.229768	0.066572
71	QAc	8	5	24	0.243	14.800	200.899	158.853	20.858	98.839	0.732	0.271843	0.023620
31	QAc	9	1	18	0.101	11.300	38.574	1.481	0.648	NA	0.721	0.054394	0.040952
31	QAc	9	2	32	0.146	16.800	95.477	16.794	1.287	25.527	0.730	0.127557	0.099471
31	QAc	9	3	30	0.144	19.500	109.103	11.239	1.291	27.172	0.739	0.147298	0.121593
31	QAc	9	4	34	0.215	21.800	251.754	55.081	5.449	NA	0.700	0.362644	0.298224
31	QAc	9	5	32	0.243	21.400	297.849	129.138	11.021	109.967	0.647	0.455588	0.388727
149	QAc	10	1	40	0.115	15.500	62.600	8.438	0.646	NA	0.689	0.078602	0.010872
149	QAc	10	2	38	0.136	16.900	87.025	12.683	1.034	25	0.730	0.104589	0.027907
149	QAc	10	3	42	0.175	16.800	126.240	18.257	1.926	NA	0.668	0.165418	0.026831
149	QAc	10	4	42	0.185	18.600	188.943	53.617	5.961	122.916	0.736	0.225167	0.065837
149	QAc	10	5	45	0.210	19.600	285.693	71.587	9.763	NA	0.769	0.340608	0.102483
30	QAc	11	1	10	0.037	4.300	1.409	0.975	0.538	NA	0.475	0.003246	0.002039
30	QAc	11	2	10	0.046	5.300	1.462	0.981	0.612	NA	0.306	0.004961	0.003305
30	QAc	11	3	10	0.062	6.400	6.887	1.821	1.099	2.497	0.579	0.013793	0.009070
30	QAc	11	4	10	0.070	6.500	8.391	5.052	2.035	4.682	0.704	0.012452	0.008518
30	QAc	11	5	9	0.072	6.800	10.469	5.028	1.172	7.204	0.719	0.014719	0.010552
147	QAc	12	1	37	0.146	19.800	138.849	12.079	1.973	NA	0.831	0.151424	0.105442
147	QAc	12	2	45	0.213	18.400	269.270	106.553	30.119	117.8	0.822	0.292342	0.174445
147	QAc	12	3	47	0.236	18.200	333.530	182.154	12.246	NA	0.746	0.404933	0.177089
147	QAc	12	4	47	0.254	20.950	358.462	96.917	30.083	143.014	0.720	0.443695	0.232514
147	QAc	12	5	47	0.270	19.900	297.089	164.599	47.559	NA	0.534	0.497252	0.288065
146	QAc	13	1	45	0.131	11.240	52.294	9.753	0.997	15.269	0.650	0.083790	0.130649
146	QAc	13	2	43	0.155	14.700	111.298	19.438	2.757	30.023	0.811	0.140653	0.256996
146	QAc	13	3	47	0.202	17.760	208.203	71.577	8.955	NA	0.845	0.259715	0.353971
146	QAc	13	4	46	0.239	19.150	320.340	78.608	7.458	88.089	0.821	0.416880	0.388914
146	QAc	13	5	41	0.268	20.240	490.490	159.257	17.665	111.949	0.830	0.601013	0.436837
19	CL	1	1	76	0.218	12.450	169.898	144.562	4.578	NA	0.797	0.221894	0.198099
19	CL	1	2	62	0.200	12.400	114.974	62.082	1.838	38.152	0.587	0.206304	0.182427
19	CL	1	3	35	0.118	8.950	25.349	5.610	0.781	9.844	0.563	0.044586	0.038291
19	CL	1	4	30	0.064	6.700	7.066	2.431	0.164	1.919	0.568	0.012390	0.010362
19	CL	1	5	48	0.162	11.400	63.380	31.706	1.457	18.588	0.584	0.107320	0.099667
18	CL	2	1	56	0.193	11.400	82.582	81.025	4.425	41.201	0.528	0.156377	0.145218
18	CL	2	2	35	0.119	11.100	37.161	35.118	2.080	24.087	0.677	0.056840	0.048016
18	CL	2	3	39	0.108	9.500	27.672	15.511	1.370	9.594	0.526	0.049315	0.044269
18	CL	2	4	44	0.169	11.500	65.048	41.954	2.295	24.995	0.598	0.111303	0.098859
18	CL	2	5	28	0.076	7.800	36.204	3.915	0.458	3.641	1.768	0.020011	0.018158
17	CL	3	1	52	0.132	7.000	45.397	84.915	3.838	67.716	0.894	0.048338	0.043795
17	CL	3	2	56	0.188	13.400	80.529	34.561	1.041	26.761	0.571	0.143520	0.128365
17	CL	3	3	38	0.148	10.800	43.223	18.124	0.594	10.129	0.630	0.072213	0.063065
17	CL	3	4	41	0.190	11.200	105.626	66.595	3.081	35.392	0.678	0.155661	0.141091
16	CL	4	1	48	0.180	10.500	83.980	45.201	4.101	NA	0.694	0.123428	0.111270
16	CL	4	2	45	0.134	11.100	52.962	6.053	1.151	13.54	0.660	0.081713	0.074215
16	CL	4	3	51	0.186	11.000	66.995	52.637	3.937	37.916	0.567	0.121101	0.108186
16	CL	4	4	65	0.199	10.500	104.873	109.971	8.546	80.093	0.753	0.144084	0.128878
16	CL	4	5	58	0.156	10.750	53.011	43.576	2.691	NA	0.576	0.094220	0.084209
15	CL	5	1	32	0.116	10.600	33.649	10.612	0.524	7.645	0.504	0.063540	0.056512
15	CL	5	2	54	0.132	12.780	59.160	24.891	0.716	22.538	0.625	0.096930	0.084537
15	CL	5	3	34	0.081	9.900	16.884	3.326	0.259	6.391	0.569	0.028155	0.023931
15	CL	5	4	36	0.101	10.700	28.371	9.540	0.600	8.091	0.587	0.045522	0.040313
14	CL	6	1	35	0.092	10.700	21.757	8.036	0.734	7.345	0.632	0.034598	0.030319
14	CL	6	2	60	0.130	12.900	52.829	2.955	1.453	26.288	0.647	0.081821	0.072597
14	CL	6	3	56	0.194	13.100	92.180	30.469	2.210	20.494	0.491	0.185495	0.166763
14	CL	6	4	65	0.215	13.700	141.850	76.147	5.088	NA	0.668	0.214271	0.195379
14	CL	6	5	63	0.259	12.900	167.900	149.014	13.245	93.952	0.667	0.259473	0.236606
167	QM	1	1	35	0.095	9.780	18.566	4.559	1.216	NA	0.579	0.033325	0.030486
167	QM	1	2	39	0.164	8.300	45.770	25.544	3.614	17.461	0.634	0.081611	0.039549
167	QM	1	3	40	0.240	12.140	148.405	84.446	12.903	NA	0.677	0.234735	0.048005
167	QM	1	4	45	0.312	15.950	238.158	207.708	17.875	NA	0.595	0.421465	0.063915
167	QM	1	5	53	0.326	14.600	285.031	276.998	45.136	128.819	0.650	0.472202	0.050998
193	QM	2	1	34	0.059	7.800	9.969	2.275	0.761	NA	0.821	0.012159	0.005329
193	QM	2	2	41	0.088	10.570	23.206	3.822	1.015	13.714	0.713	0.033208	0.014307
193	QM	2	3	39	0.128	13.160	64.130	7.916	2.217	NA	0.729	0.089946	0.018054
193	QM	2	4	38	0.164	10.600	69.721	78.592	7.691	29.343	0.750	0.098377	0.031038
193	QM	2	5	39	0.179	10.800	83.862	59.583	8.549	NA	0.832	0.108709	0.075130
192	QM	3	1	35	0.070	7.970	12.334	2.810	0.818	NA	0.821	0.016556	0.009536
192	QM	3	2	29	0.108	7.650	27.594	16.029	2.705	18.604	0.860	0.034214	0.022680
192	QM	3	3	32	0.117	10.520	43.467	23.122	3.621	NA	0.895	0.050891	0.069860
192	QM	3	4	34	0.141	10.480	58.486	39.450	4.935	39.144	0.911	0.067525	0.074185
192	QM	3	5	30	0.183	13.170	124.631	74.459	8.481	NA	0.783	0.166395	0.084885
72	QM	4	1	23	0.057	8.200	11.834	0.933	0.719	NA	0.981	0.013307	0.057612
72	QM	4	2	23	0.098	7.900	23.868	10.230	3.910	62.869	0.872	0.029683	0.108946
72	QM	4	3	23	0.079	8.700	13.067	6.777	1.787	NA	0.647	0.022435	0.144064
72	QM	4	4	23	0.139	8.000	43.651	22.361	9.463	57.793	0.795	0.056270	0.039045
72	QM	4	5	24	0.167	10.300	63.631	52.391	8.517	NA	0.883	0.079419	0.134262
65	QM	5	1	57	0.063	6.600	6.549	0.000	0.164	NA	0.663	0.010411	0.008114
65	QM	5	2	57	0.104	10.200	21.184	4.819	1.608	12.385	0.515	0.043841	0.034683
65	QM	5	3	52	0.113	7.900	29.479	11.318	3.548	NA	0.833	0.040763	0.028275
65	QM	5	4	67	0.144	13.900	76.847	17.987	2.550	38.062	0.789	0.102277	0.085102
65	QM	5	5	61	0.194	16.200	138.538	25.878	4.343	NA	0.715	0.210359	0.175817
67	QM	6	1	53	0.119	11.900	51.611	0.957	0.242	NA	0.656	0.085119	0.017064
67	QM	6	2	59	0.179	14.400	124.632	21.166	3.831	76.394	0.774	0.170561	0.060782
67	QM	6	3	71	0.229	16.300	230.284	25.174	3.515	NA	0.785	0.308272	0.179260
67	QM	6	4	78	0.252	12.400	243.000	74.468	1.178	171.553	0.850	0.297582	0.055343
67	QM	6	5	60	0.226	16.500	303.482	13.652	4.548	NA	1.558	0.204436	0.250093
64	QM	7	1	42	0.092	8.300	14.397	2.380	1.726	NA	0.557	0.028158	0.022380
64	QM	7	2	61	0.113	10.500	35.337	6.697	1.314	24.603	0.695	0.057232	0.042246
64	QM	7	3	54	0.121	13.500	43.819	10.618	1.035	NA	0.620	0.073418	0.062164
64	QM	7	4	86	0.160	16.700	127.565	25.950	4.165	71.876	0.737	0.175424	0.147016
64	QM	7	5	85	0.221	16.200	227.199	47.037	7.158	NA	0.811	0.289136	0.242875
118	QM	8	1	41	0.100	9.650	24.609	7.932	2.341	NA	0.705	0.038640	0.460615
118	QM	8	2	55	0.154	10.400	50.382	15.238	3.281	NA	0.681	0.082095	0.627147
118	QM	8	3	57	0.198	12.300	117.683	44.673	6.627	42.02	0.681	0.189399	0.552549
118	QM	8	4	52	0.255	15.000	173.375	138.729	10.957	NA	0.653	0.292442	0.656932
118	QM	8	5	55	0.261	11.600	135.295	153.247	10.684	116.117	0.778	0.197393	0.706485
99	QM	9	1	40	0.111	9.700	34.252	15.100	1.836	NA	0.853	0.046078	0.066415
99	QM	9	2	45	0.134	10.500	52.972	9.560	2.655	38.62	0.612	0.101442	0.072830
99	QM	9	3	45	0.163	9.500	70.234	31.189	4.454	NA	0.655	0.129191	0.123348
99	QM	9	4	46	0.172	13.200	74.199	24.402	4.961	40.334	0.525	0.148286	0.193617
99	QM	9	5	34	0.210	14.700	122.394	45.599	7.077	NA	0.657	0.204404	0.213405
66	QM	10	1	42	0.108	9.900	28.369	6.004	1.332	NA	0.668	0.046006	0.037336
66	QM	10	2	41	0.158	10.400	48.227	14.901	2.390	17.039	0.638	0.080371	0.067123
66	QM	10	3	85	0.189	12.000	77.817	51.283	4.228	NA	0.603	0.133705	0.115581
66	QM	10	4	80	0.307	12.900	224.048	100.127	9.070	107.85	0.645	0.366007	0.309847
66	QM	10	5	82	0.299	12.800	247.010	109.598	14.392	NA	0.731	0.352335	0.308660
63	QM	11	1	43	0.103	6.800	18.574	7.293	2.464	NA	0.902	0.022693	0.017087
63	QM	11	2	76	0.141	9.400	52.176	36.921	5.597	42.263	0.906	0.060823	0.049216
63	QM	11	3	83	0.161	11.900	77.449	21.893	5.717	NA	0.493	0.159837	0.129060
63	QM	11	4	91	0.186	10.000	111.660	51.851	9.778	70.419	0.853	0.135334	0.110368
63	QM	11	5	94	0.240	10.200	190.368	139.712	14.527	NA	0.756	0.262934	0.218377
117	QM	12	1	33	0.138	10.500	50.954	23.228	5.191	NA	0.658	0.084687	0.027234
