ext_no	sp	plot	no	age	dbh	h	Mst	br	leaf	cr	wd	Vst	Vst.5
145	PDe	12	2	24	0.164	15.350	67.911	15.630	8.891	32.095	0.396	0.171702	0.109546
145	PDe	12	3	24	0.191	14.770	73.869	21.193	14.860	NA	0.370	0.203155	0.198355
145	PDe	12	4	35	0.211	15.200	94.090	21.821	11.706	36.189	0.418	0.233666	0.500140
145	PDe	12	5	26	0.238	17.370	148.133	41.967	19.482	NA	0.423	0.357579	0.327612
143	PDe	13	1	34	0.205	14.100	88.582	14.654	16.782	NA	0.409	0.222967	0.111576
143	PDe	13	2	37	0.253	18.700	195.003	63.714	31.611	94.729	0.406	0.484393	0.111204
143	PDe	13	3	35	0.256	18.400	164.593	60.813	35.807	NA	0.363	0.452492	0.182055
143	PDe	13	4	35	0.322	17.700	227.679	77.596	54.531	93.91	0.370	0.635454	0.253252
143	PDe	13	5	35	0.368	18.300	303.349	146.557	92.388	NA	0.347	0.883259	0.065021
139	PDe	14	1	36	0.203	18.250	95.357	7.752	6.308	NA	0.370	0.257762	0.030032
139	PDe	14	2	35	0.233	14.800	123.694	39.223	20.741	57.211	0.418	0.302455	0.086159
139	PDe	14	3	36	0.269	18.200	193.343	38.026	30.338	NA	0.459	0.440419	0.348103
139	PDe	14	4	38	0.317	20.070	253.772	45.881	35.822	113.067	0.393	0.659363	0.221308
139	PDe	14	5	39	0.320	20.350	338.654	105.133	61.958	NA	0.439	0.762775	0.167753
138	PDe	15	1	73	0.351	21.200	352.126	67.281	38.301	NA	0.485	0.788216	0.230393
138	PDe	15	2	72	0.387	21.200	456.648	74.657	37.048	153.092	0.455	1.021694	0.262732
138	PDe	15	3	75	0.453	22.400	705.757	149.921	58.425	NA	0.455	1.620460	0.392311
138	PDe	15	4	73	0.536	24.600	918.117	183.488	104.429	286.371	0.400	2.333769	0.588389
138	PDe	15	5	82	0.590	24.980	1017.366	185.059	63.589	NA	0.374	2.721520	0.713733
36	CS	1	1	15	0.051	6.900	3.915	0.451	0.134	NA	0.520	0.008365	0.006897
36	CS	1	2	13	0.058	3.900	4.790	1.682	1.652	3.89	0.694	0.007164	0.006326
36	CS	1	3	27	0.078	7.200	12.406	2.343	0.689	NA	0.618	0.020951	0.018389
36	CS	1	4	25	0.085	4.700	9.074	7.001	2.363	21.47	0.627	0.014586	0.012584
36	CS	1	5	28	0.106	6.400	19.909	7.289	3.491	NA	0.580	0.035029	0.030098
35	CS	2	1	23	0.122	9.200	30.962	10.489	2.623	NA	0.522	0.059950	0.055424
35	CS	2	2	38	0.135	12.300	48.578	10.142	2.910	NA	0.548	0.090199	0.086275
35	CS	2	3	40	0.165	13.400	92.466	16.764	5.837	60.952	0.556	0.176329	0.163335
35	CS	2	4	36	0.192	11.000	99.401	41.083	8.266	NA	0.587	0.167413	0.155360
35	CS	2	5	43	0.222	12.900	134.917	54.392	12.228	128.013	0.578	0.251115	0.232040
34	CS	3	1	26	0.086	11.600	30.049	3.499	0.831	NA	0.853	0.038731	0.034715
34	CS	3	2	28	0.147	11.800	60.743	16.115	4.586	NA	0.572	0.105280	0.095789
34	CS	3	3	30	0.157	12.100	67.412	17.996	7.105	46.638	0.464	0.141630	0.132457
34	CS	3	4	37	0.154	12.100	72.471	5.632	3.102	85.88	0.591	0.127887	0.120668
34	CS	3	5	41	0.185	13.300	106.781	3.791	8.805	NA	0.491	0.212600	0.193268
33	CS	4	1	34	0.110	11.000	34.427	2.942	1.758	9.12	0.534	0.065828	0.057055
33	CS	4	2	41	0.149	11.800	62.144	14.853	2.953	NA	0.550	0.111586	0.102253
33	CS	4	3	41	0.182	12.000	109.256	23.279	8.022	NA	0.622	0.186198	0.171487
33	CS	4	4	46	0.198	10.100	108.526	60.071	19.573	32.752	0.641	0.179581	0.162984
33	CS	4	5	49	0.230	11.800	159.124	45.383	12.516	NA	0.604	0.273307	0.257903
198	QV	1	1	34	0.138	12.800	51.527	10.758	2.601	NA	0.725	0.090777	0.119707
198	QV	1	2	34	0.147	13.600	79.619	11.083	2.873	24.249	0.839	0.104409	0.108921
198	QV	1	3	34	0.200	13.000	105.343	66.611	6.882	NA	0.740	0.168096	0.040413
198	QV	1	4	40	0.242	13.400	146.832	73.036	7.295	65.481	0.806	0.219515	0.052132
198	QV	1	5	36	0.273	15.600	259.708	117.436	13.358	NA	0.862	0.368168	0.074363
144	QV	2	1	40	0.171	12.500	80.275	24.479	2.187	66.333	0.608	0.145855	0.082164
144	QV	2	2	35	0.242	17.000	213.440	73.923	6.606	64.427	0.701	0.342272	0.156452
144	QV	2	3	35	0.139	12.700	46.741	2.713	0.807	NA	0.582	0.088883	0.184084
144	QV	2	4	40	0.191	12.600	93.577	33.221	2.375	NA	0.666	0.163652	0.328582
144	QV	2	5	46	0.266	14.800	143.668	45.966	5.345	NA	0.641	0.267646	0.198042
166	QV	3	1	28	0.082	9.700	13.120	2.162	0.749	NA	0.589	0.025227	0.024699
166	QV	3	2	41	0.124	14.700	43.463	1.930	0.550	13.763	0.707	0.076774	0.059992
166	QV	3	3	42	0.150	15.800	56.981	8.912	2.319	NA	0.526	0.127974	0.182675
166	QV	3	4	43	0.196	18.000	153.262	28.145	10.477	55.636	0.703	0.248811	0.377848
166	QV	3	5	46	0.227	16.700	200.730	33.299	8.976	NA	0.725	0.329075	0.342977
197	QV	4	1	34	0.075	7.980	12.891	1.364	0.369	NA	0.776	0.019387	0.051821
197	QV	4	2	36	0.107	13.100	34.768	4.253	0.763	24.611	0.757	0.059290	0.074452
197	QV	4	3	40	0.125	12.810	48.641	5.298	1.448	NA	0.783	0.070954	0.113559
197	QV	4	4	37	0.142	13.180	60.483	10.124	2.142	22.67	0.784	0.097189	0.145153
197	QV	4	5	34	0.196	14.000	106.538	48.435	7.527	NA	0.741	0.174878	0.244915
102	QV	5	1	34	0.100	11.200	30.837	4.220	2.567	NA	0.651	0.051140	0.421591
102	QV	5	2	46	0.130	12.800	67.407	6.111	2.089	21.108	0.818	0.087211	0.405826
102	QV	5	3	46	0.140	11.800	55.959	2.645	2.555	NA	0.848	0.092614	0.534304
102	QV	5	4	50	0.200	14.200	135.682	42.515	7.858	79.776	0.744	0.216366	0.456405
102	QV	5	5	49	0.254	15.700	239.189	85.795	12.145	NA	0.818	0.375810	0.365583
196	QV	6	1	36	0.075	9.220	14.276	0.961	0.273	NA	0.859	0.020982	0.011730
196	QV	6	2	37	0.098	9.460	23.301	4.945	1.437	8.041	0.882	0.034798	0.031315
196	QV	6	3	38	0.134	10.500	47.549	17.063	3.121	NA	0.796	0.071721	0.045044
196	QV	6	4	31	0.158	12.470	70.053	18.834	5.182	26.714	0.753	0.116887	0.050600
196	QV	6	5	32	0.192	10.840	75.554	62.522	7.790	NA	0.747	0.111178	0.105559
141	QV	7	1	40	0.265	18.800	297.184	68.191	6.864	NA	0.727	0.471332	0.118576
141	QV	7	2	46	0.364	21.800	666.040	156.790	11.245	NA	0.792	0.966156	0.024192
141	QV	7	3	44	0.249	16.600	276.329	41.470	6.146	89.514	0.860	0.382651	0.426047
141	QV	7	4	30	0.177	13.000	70.509	5.606	0.851	NA	0.701	0.132661	0.051113
141	QV	7	5	48	0.271	14.400	292.749	99.630	8.880	116.655	0.808	0.413927	0.256041
142	QV	8	1	42	0.194	10.200	122.461	31.384	4.059	NA	0.830	0.167611	0.452738
142	QV	8	2	36	0.114	8.700	28.038	6.905	0.903	NA	0.856	0.040946	0.557021
142	QV	8	3	44	0.308	15.500	364.532	139.185	10.695	NA	0.708	0.570226	0.802348
142	QV	8	4	38	0.137	12.450	60.123	11.681	1.110	21.913	0.914	0.087792	0.195465
142	QV	8	5	39	0.256	16.400	214.689	51.726	6.108	92.201	0.694	0.338528	0.414320
100	QV	9	1	49	0.145	14.400	66.904	25.384	2.902	NA	0.810	0.112697	0.367250
100	QV	9	2	44	0.140	13.200	58.845	10.524	2.655	38.032	0.649	0.100444	0.460233
100	QV	9	3	47	0.195	13.700	116.117	82.271	5.983	NA	0.768	0.199955	0.517740
100	QV	9	4	47	0.226	14.200	203.739	22.834	9.306	70.626	0.868	0.296705	0.483021
100	QV	9	5	50	0.256	14.500	169.877	108.997	7.398	NA	0.664	0.335708	0.587949
165	QV	10	1	41	0.160	15.900	77.643	14.358	2.935	NA	0.667	0.147467	0.016911
165	QV	10	2	47	0.183	16.700	90.703	8.092	2.331	39.467	0.671	0.171623	0.226400
165	QV	10	3	50	0.218	19.300	200.670	28.749	3.796	NA	0.715	0.326931	0.047029
165	QV	10	4	53	0.233	17.900	242.565	62.575	8.029	106.433	0.736	0.383710	0.084869
165	QV	10	5	54	0.250	17.700	202.616	45.754	6.098	NA	0.721	0.341005	0.182397
164	QV	11	1	59	0.178	17.300	116.560	8.817	1.730	NA	0.674	0.195451	0.225761
164	QV	11	2	62	0.208	18.600	189.508	34.666	7.791	83.558	0.749	0.288139	0.266499
164	QV	11	3	55	0.265	20.400	307.104	62.898	5.265	214.462	0.775	0.463953	0.091179
164	QV	11	4	61	0.300	20.530	330.436	45.388	4.816	102.438	0.698	0.558920	0.228484
164	QV	11	5	62	0.290	22.320	372.630	54.712	7.397	NA	0.697	0.631244	0.100416
163	QV	12	1	59	0.161	12.900	76.538	7.725	3.292	NA	0.663	0.147500	0.387107
163	QV	12	2	62	0.242	17.200	170.286	10.849	4.862	64.464	0.650	0.304550	0.435680
163	QV	12	3	84	0.282	15.400	186.598	16.398	3.729	114.781	0.650	0.366454	0.205696
163	QV	12	4	85	0.308	17.900	306.083	83.530	4.941	96.258	0.678	0.522748	0.135427
163	QV	12	5	83	0.321	14.700	307.194	128.623	8.717	NA	0.769	0.471427	0.326601
162	QV	13	1	52	0.134	8.550	28.553	5.202	1.476	NA	0.641	0.058390	0.228716
