model	model_structure	hierarchy	k_depth	family	variable	mean	median	sd	q025	q05	q95	q975	prob_gt_0	prob_lt_0	is_best_gamma_model
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	sd_h1__y2_logA_Intercept	0.364808998430808	0.263285485	0.360596902938419	0.013111431975	0.0280300454	1.040182145	1.3165858125	1	0	FALSE
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	sd_h1__y2_logk_Intercept	1.16325528742888	1.03221595	0.737695665614726	0.111876057	0.209696853	2.541062395	3.0160490125	1	0	FALSE
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	shape_y1m1	2.6078441411125	2.60710415	0.102616543659686	2.41089169	2.4396633	2.7782863	2.8123163075	1	0	FALSE
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	shape_y2	4.281256198325	4.27732935	0.257714267818825	3.7923793625	3.860202815	4.70694747	4.799419005	1	0	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y1m1_logL_Intercept	-1.24781007584375	-1.20083825	0.309599869615276	-2.0159513525	-1.828486	-0.841237592500001	-0.75917035075	0	1	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y1m1_logA_Intercept	0.0174312723681267	0.0389330915	0.261885660899088	-0.580678759	-0.4355056575	0.3997739335	0.4662001545	0.56575	0.43425	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y1m1_logk_Intercept	1.925829822325	1.92702205	0.114757380856116	1.69603558	1.73546221	2.109924415	2.1424711475	1	0	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y2_logL_Intercept	-1.63645566694	-1.47336815	0.629018523826376	-3.2298550875	-2.901235915	-0.9395605425	-0.873653456	0	1	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y2_logA_Intercept	-0.969051333290925	-0.957570415	0.297615998739622	-1.603795135	-1.473483445	-0.511390880000001	-0.417984146	0.001875	0.998125	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	b_y2_logk_Intercept	0.534378192254776	0.50800903	0.591151279284048	-0.461051058	-0.3677507395	1.502897005	1.624567775	0.777125	0.222875	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h1__y1m1_logL_Intercept	0.495126696495402	0.413896315	0.35131088160558	0.05967767365	0.1029787675	1.167779245	1.41733743	1	0	FALSE
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	sd_h2__y1m1_logL_Intercept	0.48704829307875	0.47538592	0.092722156245191	0.338256642	0.3580899195	0.655160271	0.70597392425	1	0	FALSE
