model	model_structure	hierarchy	k_depth	family	response	x	predicted	pred_q05	pred_q95
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.380911061959664	1.4107123663863	1.39512550686091	1.42701818287711
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.391282631656585	1.40660786057342	1.39154703728298	1.42235893844625
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.401654201353506	1.40285345259225	1.38826237485417	1.41815263603358
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.412025771050427	1.39941892835519	1.38516285131356	1.41430134208545
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.422397340747348	1.3962767116039	1.38229459114035	1.41094894244386
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.43276891044427	1.39340163097487	1.3796702930559	1.40777668747569
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.443140480141191	1.39077070786724	1.37708646851242	1.40483133104352
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.453512049838112	1.38836296323434	1.3747721853819	1.40223452897037
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.463883619535033	1.38615924159189	1.37267458956294	1.40001722193731
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.474255189231954	1.38414205069154	1.37069508883987	1.39801220877929
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.484626758928876	1.38229541544971	1.36883548378698	1.3961333155985
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.494998328625797	1.38060474485009	1.36712926302481	1.39441659152849
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.505369898322718	1.37905671065463	1.36556740350702	1.39291818753937
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.515741468019639	1.37763913686357	1.36410755718378	1.39152634507767
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.526113037716561	1.3763408989613	1.36273577468967	1.39040409825607
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.536484607413482	1.37515183207212	1.36145892809176	1.38941170763595
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.546856177110403	1.374062647229	1.36026599368056	1.38849364148966
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.557227746807324	1.37306485503083	1.35915709826634	1.3877356416587
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.567599316504245	1.37215069602881	1.3580909629804	1.38685205733399
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.577970886201167	1.37131307724232	1.35709057146765	1.38622815267446
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.588342455898088	1.37054551425839	1.35614525299319	1.38557714350066
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.598714025595009	1.3698420784184	1.3553929136107	1.38509448930213
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.60908559529193	1.36919734863984	1.35462218545378	1.38460822786018
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.619457164988852	1.3686063674619	1.35386428875716	1.38417360474049
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.629828734685773	1.3680646009405	1.35317309675928	1.38376429017648
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.640200304382694	1.36756790205172	1.35258795745915	1.38340848858364
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.650571874079615	1.36711247729339	1.35191119447308	1.38306554043197
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.660943443776536	1.36669485620231	1.35130555611748	1.38277667915588
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.671315013473458	1.36631186352948	1.35078611375453	1.38251401104356
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.681686583170379	1.36596059383922	1.35029563454341	1.38223290826978
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.6920581528673	1.3656383883186	1.34989878129732	1.38203894741566
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.702429722564221	1.36534281360264	1.34948241397467	1.38183706638092
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.712801292261142	1.36507164243814	1.34911947043288	1.38161077963291
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.723172861958064	1.36482283602473	1.34877909644106	1.38142625063626
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.733544431654985	1.36459452788606	1.34833430767214	1.38128858461781
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.743916001351906	1.36438500913696	1.34802472361787	1.38114369218748
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.754287571048827	1.36419271502448	1.34774684039307	1.38098978052604
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.764659140745748	1.3640162126314	1.34744680478688	1.38084963207344
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.77503071044267	1.36385418964077	1.34719602373254	1.38076952037726
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.785402280139591	1.36370544406869	1.34692620248976	1.38066745446451
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.795773849836512	1.36356887488123	1.34672725115566	1.38061370179217
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.806145419533433	1.36344347341829	1.34653603574806	1.38054913839014
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.816516989230355	1.36332831555436	1.34633911290855	1.38050803849685
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.826888558927276	1.36322255453202	1.3461729158664	1.3804136753451
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.837260128624197	1.36312541441001	1.34598610328246	1.38035038210098
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.847631698321118	1.3630361840723	1.34583192168305	1.38031950460085
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.858003268018039	1.3629542117499	1.34566237817776	1.38026227445759
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.868374837714961	1.36287890001071	1.3455321405843	1.38020236777613
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.878746407411882	1.36280970117729	1.34539363625439	1.38013398171874
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.889117977108803	1.36274611313533	1.34528440390084	1.38009254508565
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.899489546805724	1.36268767549931	1.34514573334468	1.38005944649352
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.909861116502645	1.36263396610448	1.34507608707606	1.38004437602711
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.920232686199567	1.3625845977971	1.34497815787911	1.38003148275645
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.930604255896488	1.36253921549732	1.34490335753729	1.3800059618035
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.940975825593409	1.36249749351126	1.34481320662513	1.37999042541026
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.95134739529033	1.36245913307087	1.34476207895944	1.37998060491051
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.961718964987252	1.36242386008218	1.34468182195047	1.37997319146164
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.972090534684173	1.36239142306392	1.34465044057302	1.37996940841765
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.982462104381094	1.36236159126037	1.34460608577739	1.37995467940144
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.992833674078015	1.36233415291347	1.34455850186325	1.37994836751468
base_k0_gamma	base_k0	base	k0	gamma	befa.st	1.00320524377494	1.36230891368065	1.34450228559116	1.37994269917841
base_k0_gamma	base_k0	base	k0	gamma	befa.st	1.01357681347186	1.3622856951859	1.34445957986676	1.37993729098366
base_k0_gamma	base_k0	base	k0	gamma	befa.st	1.02394838316878	1.36226433369281	1.34442270052537	1.37993207702644
base_k0_gamma	base_k0	base	k0	gamma	befa.st	1.0343199528657	1.36224467888909	1.34438364719972	1.37992738446103
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.00753455287049989	0.582592296846863	0.516113906746644	0.686440614575078
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.0179061225674211	0.578085991788058	0.514073412491301	0.676498364557748
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.0282776922643423	0.573666107513237	0.51199688692145	0.666655331507003
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.0386492619612635	0.569330262067797	0.509916272844499	0.656978802719236
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.0490208316581847	0.565076156985064	0.508016313675275	0.647685496997921
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.059392401355106	0.560901573828681	0.50602536238998	0.638187134557167
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.0697639710520272	0.556804370898329	0.50425883839067	0.629970327282072
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.0801355407489484	0.552782480090153	0.502190978335784	0.621889746501572
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.0905071104458696	0.54883390390377	0.50022155438548	0.614000513460858
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.100878680142791	0.544956712588229	0.498276655233579	0.605756897303057
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.111250249839712	0.541149041419677	0.496200558624601	0.597972375205229
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.121621819536633	0.537409088103966	0.494135409482748	0.591150393392876
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.131993389233554	0.533735110297753	0.492185007448511	0.584373409309898
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.142364958930476	0.530125423242075	0.49016975878227	0.577993929728965
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.152736528627397	0.526578397502651	0.488087504031698	0.57197534063112
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.163108098324318	0.523092456811555	0.486056451282398	0.565989141857528
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.173479668021239	0.519666076005134	0.484162905162454	0.560297439362034
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.183851237718161	0.516297779053395	0.482199707441583	0.554775742098388
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.194222807415082	0.512986137176285	0.480227474779442	0.549598347419558
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.204594377112003	0.509729767042592	0.47837129081934	0.544450626317376
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.214965946808924	0.50652732904739	0.476306028520542	0.539313142714474
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.225337516505845	0.503377525664201	0.474139899201354	0.534906288030682
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.235709086202767	0.500279099868231	0.472015226933361	0.530520085547003
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.246080655899688	0.497230833627244	0.470030156031537	0.526238868648986
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.256452225596609	0.494231546456822	0.468160051789137	0.522420127730281
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.26682379529353	0.49128009403693	0.466080810389424	0.518419937308068
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.277195364990451	0.488375366886868	0.464171213725097	0.514415404307295
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.287566934687373	0.485516289095844	0.462091406490223	0.510630059151483
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.297938504384294	0.482701817106547	0.459892848171795	0.507078701419389
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.308310074081215	0.479930938549245	0.457644782918858	0.503572993547803
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.318681643778136	0.477202671124044	0.45541871751457	0.500153235147157
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.329053213475058	0.474516061529083	0.453200157221793	0.496847611688901
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.339424783171979	0.471870184432539	0.450938780371005	0.493645965716789
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.3497963528689	0.469264141486444	0.448726704836957	0.490599521060136
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.360167922565821	0.466697060380388	0.446653073674362	0.487481345106849
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.370539492262742	0.46416809393332	0.44447239056695	0.4845973165194
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.380911061959664	0.461676419221707	0.442375911950425	0.481700654643404
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.391282631656585	0.459221236742421	0.44011885518242	0.47896730692225
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.401654201353506	0.456801769608813	0.437756635981544	0.476268317249052
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.412025771050427	0.454417262778479	0.435432703433375	0.473554717573224
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.422397340747348	0.452066982311339	0.433133238722579	0.471047527268882
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.43276891044427	0.449750214656661	0.431029996716643	0.468493717985683
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.443140480141191	0.447466265967803	0.428781298711214	0.466078610470185
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.453512049838112	0.445214461443424	0.426603506409618	0.463601770062502
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.463883619535033	0.442994144694046	0.424518669498392	0.461247350804979
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.474255189231954	0.440804677132853	0.422341475800437	0.459019936806849
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.484626758928876	0.4386454373897	0.4201569572675	0.456676421650062
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.494998328625797	0.436515820747327	0.418152284608796	0.454438464507102
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.505369898322718	0.434415238598845	0.416104487584522	0.452336666184976
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.515741468019639	0.432343117925578	0.41404085721925	0.450329712408591
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.526113037716561	0.430298900794426	0.411986197496751	0.448385540123996
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.536484607413482	0.428282043873905	0.409929187877919	0.446437702534873
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.546856177110403	0.426292017968104	0.408049405356731	0.444408002435029
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.557227746807324	0.424328307567798	0.40602655222899	0.442659649157269
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.567599316504245	0.422390410418027	0.404183776591617	0.440941420482467
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.577970886201167	0.420477837101448	0.402199716353492	0.439088062166389
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.588342455898088	0.418590110636813	0.400266193460843	0.437299029167936
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.598714025595009	0.416726766091968	0.398271442335493	0.435435311125782
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.60908559529193	0.414887350210778	0.396461327337685	0.433795730372109
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.619457164988852	0.413071421053406	0.394654887248222	0.432109273227733
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.629828734685773	0.411278547649426	0.392764590182047	0.430448406026284
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.640200304382694	0.409508309663241	0.390883301662035	0.428966268034006
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.650571874079615	0.407760297071325	0.389034767047552	0.427494989925541
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.660943443776536	0.406034109850811	0.387153635407441	0.425954345519209
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.671315013473458	0.404329357678987	0.385336664783645	0.42440900025069
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.681686583170379	0.402645659643263	0.383494768524634	0.422896467786373
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.6920581528673	0.400982643961202	0.381649216903203	0.421477338202692
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.702429722564221	0.399339947710219	0.379789754453741	0.420095292081657
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.712801292261142	0.397717216566579	0.37790583625244	0.418660597307146
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.723172861958064	0.396114104553331	0.376095331907427	0.417293412492922
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.733544431654985	0.394530273796829	0.374337025444366	0.415962662082274
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.743916001351906	0.392965394291521	0.372471624775729	0.414707841087009
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.754287571048827	0.39141914367268	0.370626497190616	0.413438607813858
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.764659140745748	0.389891206996786	0.36880423927286	0.412128132590223
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.77503071044267	0.388381276529258	0.366980906041961	0.410900156162984
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.785402280139591	0.386889051539266	0.365282722194102	0.409706138471271
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.795773849836512	0.385414238101358	0.363508464112299	0.408547369191457
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.806145419533433	0.383956548903641	0.361764324329982	0.407347162514216
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.816516989230355	0.382515703062281	0.360026745112497	0.406240255160012
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.826888558927276	0.381091425942074	0.35823816549432	0.40516142479797
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.837260128624197	0.379683448982883	0.356526239900862	0.404062078042656
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.847631698321118	0.378291509531706	0.354822328454308	0.403003204332354
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.858003268018039	0.376915350680186	0.353026163737468	0.401985435291856
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.868374837714961	0.375554721107342	0.351216452500667	0.400865869221483
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.878746407411882	0.374209374927366	0.349612070925801	0.399906841348529
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.889117977108803	0.372879071542258	0.347832452624363	0.398870613111779
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.899489546805724	0.371563575499171	0.346103068659712	0.397905201211686
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.909861116502645	0.370262656352258	0.344370603641346	0.397050611457592
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.920232686199567	0.368976088528883	0.34260448153039	0.396217920554663
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.930604255896488	0.367703651200037	0.340842037395637	0.395372717441117
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.940975825593409	0.366445128154802	0.339229125882006	0.394509344180149
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.95134739529033	0.365200307678726	0.337626330793309	0.393648177823875
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.961718964987252	0.36396898243597	0.335942537020355	0.393023835747019
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.972090534684173	0.362750949355097	0.334289774459354	0.392318321416029
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.982462104381094	0.361546009518373	0.332570440984305	0.391655189274745
base_k0_gamma	base_k0	base	k0	gamma	befr.st	0.992833674078015	0.360353968054454	0.330920492182678	0.390934205179202
base_k0_gamma	base_k0	base	k0	gamma	befr.st	1.00320524377494	0.359174634034353	0.329348557537077	0.390272180528352
base_k0_gamma	base_k0	base	k0	gamma	befr.st	1.01357681347186	0.358007820370563	0.327706781642833	0.389641938445881
base_k0_gamma	base_k0	base	k0	gamma	befr.st	1.02394838316878	0.356853343719231	0.326116452766806	0.388938672908498
base_k0_gamma	base_k0	base	k0	gamma	befr.st	1.0343199528657	0.355711024385281	0.324620823138459	0.388292562202999
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.00753455287049989	1.98425968116277	1.56223330485331	2.44295641303377
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.0179061225674211	1.94637127943425	1.54611986401581	2.37635995991088
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.0282776922643423	1.9105737837917	1.53113010857769	2.31452317526927
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.0386492619612635	1.87674918221372	1.51664410492385	2.25700806528228
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.0490208316581847	1.84478626936012	1.50387990293972	2.20293106090397
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.059392401355106	1.81458024566322	1.49130501074027	2.15356658310653
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.0697639710520272	1.78603234051621	1.47865611072644	2.1056009097094
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.0801355407489484	1.75904945808145	1.46509174341258	2.06122079958234
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.0905071104458696	1.73354384433381	1.45126102076205	2.01985936650709
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.100878680142791	1.70943277404071	1.44031663935268	1.98390867232635
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.111250249839712	1.68663825646128	1.42803619270479	1.94920172563489
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.121621819536633	1.66508675862299	1.41654791308	1.91747075540342
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.131993389233554	1.64470894510497	1.40605226281088	1.88593326165797
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.142364958930476	1.6254394333238	1.39570115795907	1.85814582747073
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.152736528627397	1.60721656337979	1.38540179159065	1.83244010476159
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.163108098324318	1.5899821815801	1.37652322885256	1.80775406007225
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.173479668021239	1.57368143680975	1.36890653982821	1.78464683655145
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.183851237718161	1.55826258897274	1.35974044246231	1.76337465779177
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.194222807415082	1.5436768287736	1.35219068425502	1.74287991887639
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.204594377112003	1.52987810815448	1.34432616557671	1.72239144720538
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.214965946808924	1.51682298074521	1.33718631108506	1.70397650879364
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.225337516505845	1.50447045172324	1.32909221471675	1.68644492271886
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.235709086202767	1.4927818365173	1.32222950740366	1.67132048609758
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.246080655899688	1.48172062782347	1.3156614313801	1.65722077252287
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.256452225596609	1.47125237043474	1.30816704590398	1.64437499346682
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.26682379529353	1.46134454341594	1.30104861271055	1.630509396437
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.277195364990451	1.45196644918415	1.29394015785323	1.61741216048063
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befa.st	0.287566934687373	1.44308910908182	1.28801137363273	1.60511988416639
