model	model_structure	hierarchy	k_depth	family	variable	mean	median	sd	mad	q5	q95
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	b_y1m1_logk_Intercept	1.92811943	1.93023695	0.115184321138929	0.11772118281	1.73458545	2.11456703
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	b_y2_logL_Intercept	-1.69489970478387	-1.5629023	0.632355421416647	0.56370690726	-2.927607905	-0.9269955065
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	b_y2_logA_Intercept	-0.99617699330535	-0.99876097	0.356948649692467	0.30593399109	-1.5868848	-0.4219709085
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	b_y2_logk_Intercept	0.579765532998058	0.55834525	0.582455120514527	0.67540843755	-0.319988319	1.52748755
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	sd_h1__y1m1_logL_Intercept	0.585426707986425	0.404744475	0.580903179234002	0.377832374157	0.0459538151	1.737144075
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	sd_h2__y1m1_logL_Intercept	0.5506061453275	0.537386425	0.0969097536193541	0.091183843716	0.4156368845	0.726889919
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	sd_h1__y1m1_logA_Intercept	0.574910252326966	0.398278265	0.579968913254455	0.382179498204	0.0346582806	1.72301344
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	sd_h2__y1m1_logA_Intercept	0.350782447087125	0.333745025	0.119094774159521	0.105697252332	0.1902082255	0.5724748785
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	sd_h1__y2_logL_Intercept	0.626931085405085	0.44092587	0.62537487540412	0.406173629736	0.05104660775	1.825749735
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	sd_h2__y2_logL_Intercept	0.509404019282694	0.44928271	0.234742815844978	0.156976753962	0.2697068445	0.957377104999998
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	sd_h1__y2_logA_Intercept	0.416620994038976	0.27083039	0.465298605819644	0.2770593375438	0.0224254399	1.287249095
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	sd_h2__y2_logA_Intercept	0.467604964214987	0.418299815	0.310301065456112	0.274170197889	0.0569743566	1.03277603
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	shape_y1m1	3.393494647975	3.38994	0.140280370705573	0.14112016905	3.16579414	3.626737305
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	shape_y2	5.5334017385375	5.52960105	0.349288179166294	0.35228303229	4.96804307	6.112828905
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	b_y1m1_logL_Intercept	-1.39193608515325	-1.28118	0.460368348073852	0.32950362459	-2.31286974	-0.8562656265
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	b_y1m1_logA_Intercept	-0.145674700289349	-0.0575196195	0.457375477262854	0.3700874874753	-1.044009365	0.439320796
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	b_y1m1_logk_Intercept	1.43972032893912	1.6780784	0.663590846419703	0.45932845728	0.0510418055500001	2.12339642
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	b_y2_logL_Intercept	-1.63962009584525	-1.5047732	0.622834102159569	0.55724358669	-2.85401193	-0.875311212
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	b_y2_logA_Intercept	-0.94445725196586	-0.94719141	0.395814002057959	0.340184378772	-1.571258325	-0.309660435
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	b_y2_logk_Intercept	0.550090503728737	0.552433975	0.663844664585801	0.7161542537289	-0.520454366	1.61913125
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	sd_h1__y1m1_logL_Intercept	0.588419954310269	0.410388125	0.573530523884731	0.387393972903	0.0385666947	1.69152659
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	sd_h2__y1m1_logL_Intercept	0.54756841532375	0.53414303	0.0997357451978642	0.091272799716	0.41003074	0.7305549185
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	sd_h1__y1m1_logA_Intercept	0.588424603071471	0.41195206	0.584053754130812	0.401644820472	0.0350951323	1.73603394
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	sd_h2__y1m1_logA_Intercept	0.347572849284625	0.331768915	0.116376698417583	0.103060589079	0.189193501	0.561480327
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	sd_h1__y1m1_logk_Intercept	0.71910879695506	0.45709676	0.750444079131595	0.5339071980459	0.02890164365	2.237677865
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	sd_h1__y2_logL_Intercept	0.651810065021034	0.46742442	0.62100367283975	0.42560812875	0.04921161545	1.90258466
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	sd_h2__y2_logL_Intercept	0.47025553263525	0.41131239	0.234004469739139	0.131596502625	0.2579059845	0.867962548499999
