model	model_structure	hierarchy	k_depth	family	response	x	predicted_mean	predicted_median	predicted_sd	pred_q025	pred_q05	pred_q10	pred_q25	pred_q50	pred_q75	pred_q90	pred_q95	pred_q975	is_best_gamma_model
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.152736528627397	1.70886510040094	1.70794557225312	0.033886440050532	1.64561876456611	1.65497047362901	1.66552101821258	1.68555713145567	1.70794557225312	1.73056248997534	1.75308819827455	1.76580854086699	1.77824980391286	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.163108098324318	1.67890352990083	1.67797050781544	0.0308393074684706	1.62148909231778	1.62938386375529	1.63967815311408	1.65769513809794	1.67797050781544	1.69877741112735	1.71932150362361	1.73048214415884	1.74121080128214	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.173479668021239	1.65156099399725	1.6508671510785	0.0282855912501818	1.59878093116778	1.60604101075483	1.61574618626321	1.63223386053598	1.6508671510785	1.66979843734885	1.6887240310448	1.6986569734164	1.70800078750483	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.183851237718161	1.6266058584221	1.6260189467808	0.026132930407468	1.57772212381416	1.58452399184652	1.59327258148104	1.60875244057764	1.6260189467808	1.64360405191116	1.66098351700215	1.67032322212085	1.67902082521572	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.194222807415082	1.60382721364767	1.60328254013857	0.0243016482394821	1.55789110473682	1.56486944092614	1.57287465596642	1.58722126934137	1.60328254013857	1.61978330487182	1.63569227189102	1.64418159682381	1.65251471547407	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.204594377112003	1.58303299924648	1.58267981710629	0.0227247168989108	1.53969414129352	1.54682790426024	1.55395580590108	1.56745574368033	1.58267981710629	1.59795328850062	1.61282008306754	1.62092152184309	1.62822028494394	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.214965946808924	1.56404829994094	1.56361096610303	0.0213472241658497	1.52338510391205	1.53001247197617	1.53691369489252	1.54948000113292	1.56361096610303	1.57810833754015	1.59181645126713	1.59983508381319	1.60631531335264	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.225337516505845	1.54671379744814	1.54631753635188	0.0201253719389885	1.50838894772588	1.51459439006597	1.52140965554894	1.53283144969017	1.54631753635188	1.56009549766859	1.57283694315959	1.58030355110921	1.58702075297385	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.235709086202767	1.53088436371362	1.53054087338975	0.0190251436478075	1.49432151513689	1.50039514219698	1.50691270150872	1.51769272991057	1.53054087338975	1.54363088943414	1.55556870885107	1.56266330845414	1.56880274270516	FALSE
base_k0_gamma	base_k0	base	k0	gamma	befa.st	0.246080655899688	1.51642778247492	1.51607060958838	0.0180208152548067	1.48191453518154	1.48750989995189	1.49376397690735	1.50378017768276	1.51607060958838	1.52855268769397	1.53974839672744	1.54646208501562	1.55237710158627	FALSE
