split_variable	split_value	model	model_structure	hierarchy	k_depth	response	n	n_stands	observed_mean	predicted_mean	mean_residual	mean_abs_error	rmse	residual_sd	lm_intercept_observed_vs_predicted	lm_slope_observed_vs_predicted	lm_r2_observed_vs_predicted	correlation_observed_predicted
dominant_genus	Betula	base_k0_gamma	base_k0	base	k0	befa.st	25	5	1.35938671721364	1.53658960790731	-0.177202890693665	0.194505913042029	0.227113665916335	0.144984743363188	0.281487458363797	0.701488057255473	0.862553525293662	0.928737597652675
dominant_genus	Betula	ftp_k0_gamma	ftp_k0	ftp	k0	befa.st	25	5	1.35938671721364	1.51048595144798	-0.151099234234337	0.165941869330024	0.186022182037471	0.110742163115214	-0.522737869338556	1.24603912055452	0.862303871924888	0.928603183240768
dominant_genus	Betula	ftp_k1_gamma	ftp_k1	ftp	k1	befa.st	25	5	1.35938671721364	1.54046164961868	-0.181074932405033	0.186171054108749	0.205518052638005	0.0992132531397562	-0.168700977155487	0.99196737208446	0.862553260537743	0.928737455117291
dominant_genus	Betula	ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	25	5	1.35938671721364	1.37933159849607	-0.0199448812824308	0.0838236528199508	0.101872238320099	0.101960749448505	0.0972105792873764	0.915063599864206	0.862203935683293	0.928549371699369
dominant_genus	Betula	ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	befa.st	25	5	1.35938671721364	1.37917854296487	-0.0197918257512288	0.0836993328035416	0.101712675095226	0.101825790305367	0.0943391736406095	0.917247117877511	0.862177357950622	0.928535060162309
dominant_genus	Betula	ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	befa.st	25	5	1.35938671721364	1.37697627261533	-0.0175895554016908	0.0821001067053084	0.100027200818808	0.100499007273378	0.059617686031241	0.94392986795169	0.861951008649333	0.92841316699481
dominant_genus	Betula	PFT_k0_gamma	PFT_k0	PFT	k0	befa.st	25	5	1.35938671721364	1.44098576896761	-0.0815990517539688	0.121072044610006	0.143709063863571	0.120735117222049	0.228797098842879	0.784594575962239	0.861289368217669	0.928056769932566
dominant_genus	Betula	PFT_k1_gamma	PFT_k1	PFT	k1	befa.st	25	5	1.35938671721364	1.3548582199158	0.00452849729784318	0.078362496740308	0.105248262171479	0.107319079357326	-0.192187124690386	1.14519277301241	0.852819024298514	0.923482010814782
dominant_genus	Betula	PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	befa.st	25	5	1.35938671721364	1.37938124793422	-0.0199945307205788	0.0842579412392348	0.10289446254853	0.103014406175052	0.116739373644734	0.900873014933263	0.86219765649793	0.928545990513087
dominant_genus	Betula	PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	befa.st	25	5	1.35938671721364	1.37719751026238	-0.0178107930487408	0.0828441266553216	0.101302306268711	0.101780671597142	0.094192438193985	0.918673080362027	0.862043849238843	0.92846316525689
dominant_genus	Betula	PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	befa.st	25	5	1.35938671721364	1.3736341011513	-0.0142473839376568	0.0804855063879432	0.0993221957746314	0.100321932964723	0.0534172975517791	0.950740388992438	0.86171966795669	0.928288569334283
dominant_genus	Betula	sp_k0_gamma	sp_k0	sp	k0	befa.st	25	5	1.35938671721364	1.38988066495768	-0.0304939477440368	0.0903988819713528	0.11204775457805	0.110041746136063	0.192272137801645	0.839722868903666	0.86225636904537	0.928577605289601
dominant_genus	Betula	sp_k1_gamma	sp_k1	sp	k1	befa.st	25	5	1.35938671721364	1.39264647874073	-0.0332597615270888	0.0923748636230624	0.116451198874333	0.113901775952054	0.22196792378498	0.816731891970996	0.86218037437275	0.928536684451804
dominant_genus	Betula	base_k0_gamma	base_k0	base	k0	befr.st	18	5	0.465561780631186	0.405812629469862	0.0597491511613242	0.106984784161242	0.134514197021357	0.124009948947283	0.234261099480508	0.5699691541213	0.111498078622783	0.333913280093474
dominant_genus	Betula	ftp_k0_gamma	ftp_k0	ftp	k0	befr.st	18	5	0.465561780631186	0.470225555130899	-0.00466377449971321	0.0946618614191591	0.124028448307436	0.127533961692653	0.233972013690601	0.49250782824025	0.11080036143757	0.332866882458393
