model	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
base_k0	befa.st	1132	1.44106132803971	1.37816468041691	0.0628966476228014	0.322606196602015	0.754955630355967	0.0901060070671378	0.0865724381625442	0.0512367491166078
ftp_k0	befa.st	1132	1.44106132803971	1.37976854118407	0.061292786855641	0.319261576902768	0.755973357343537	0.0839222614840989	0.0830388692579505	0.0485865724381625
ftp_k1	befa.st	1132	1.44106132803971	1.37982593843946	0.0612353896002484	0.317892029205891	0.751602804338029	0.0856890459363958	0.0856890459363958	0.0530035335689046
ftp_sp_k0	befa.st	1132	1.44106132803971	1.39507283700678	0.0459884910329305	0.264653613209876	0.719545979327446	0.100706713780919	0.0998233215547703	0.0477031802120141
ftp_sp_k1	befa.st	1132	1.44106132803971	1.39554441810643	0.0455169099332849	0.263178828398405	0.713707110149519	0.0945229681978799	0.0936395759717314	0.0485865724381625
ftp_sp_k2	befa.st	1132	1.44106132803971	1.39531759118095	0.0457437368587581	0.262939300118768	0.710019703515887	0.0945229681978799	0.092756183745583	0.0521201413427562
sp_k0	befa.st	1132	1.44106132803971	1.3956790408788	0.0453822871609156	0.263723918012744	0.71550106438836	0.0962897526501767	0.0954063604240283	0.0477031802120141
sp_k1	befa.st	1132	1.44106132803971	1.39468291535978	0.0463784126799343	0.263744109273482	0.710561439545902	0.0962897526501767	0.0954063604240283	0.0468197879858657
base_k0	befr.st	524	0.442216609003624	0.403439219461825	0.0387773895417991	0.268830981007112	0.73886735084672	0.0858778625954199	0.0858778625954199	0.0534351145038168
ftp_k0	befr.st	524	0.442216609003624	0.406212739818301	0.0360038691853229	0.259291353018582	0.744055391961059	0.0896946564885496	0.0877862595419847	0.0477099236641221
ftp_k1	befr.st	524	0.442216609003624	0.40785354104269	0.0343630679609338	0.258199454064326	0.745884369615528	0.0916030534351145	0.0896946564885496	0.049618320610687
ftp_sp_k0	befr.st	524	0.442216609003624	0.412695588184241	0.0295210208193834	0.226222933213499	0.712143352282403	0.0687022900763359	0.0687022900763359	0.0362595419847328
ftp_sp_k1	befr.st	524	0.442216609003624	0.413087948905523	0.0291286600981014	0.22362147857826	0.70723598008546	0.0744274809160305	0.0744274809160305	0.0305343511450382
ftp_sp_k2	befr.st	524	0.442216609003624	0.413453597459309	0.0287630115443149	0.224056536509851	0.703644028906471	0.0725190839694656	0.0725190839694656	0.0343511450381679
sp_k0	befr.st	524	0.442216609003624	0.412985389464631	0.0292312195389929	0.22548759371865	0.711711355334376	0.0687022900763359	0.066793893129771	0.0362595419847328
sp_k1	befr.st	524	0.442216609003624	0.412879424136871	0.0293371848667527	0.226364970416784	0.709648036970145	0.0763358778625954	0.0725190839694656	0.032442748091603
