model	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
base_k0	befa.st	1132	1.44106132803971	1.37796007562255	0.0631012524171639	0.323100057287705	0.757404258879298	0.0901060070671378	0.0901060070671378	0.049469964664311
ftp_k0	befa.st	1132	1.44106132803971	1.38015780055949	0.0609035274802231	0.31907510727364	0.757035709748546	0.0901060070671378	0.0892226148409894	0.049469964664311
ftp_k1	befa.st	1132	1.44106132803971	1.37979866821434	0.0612626598253688	0.319036154498525	0.756123888582257	0.0892226148409894	0.0874558303886926	0.049469964664311
ftp_sp_k0	befa.st	1132	1.44106132803971	1.39552547229737	0.0455358557423462	0.263573480648366	0.716970902710807	0.101590106007067	0.100706713780919	0.0512367491166078
ftp_sp_k1	befa.st	1132	1.44106132803971	1.39540999977728	0.0456513282624367	0.26399747891362	0.713914006820509	0.0989399293286219	0.0980565371024735	0.0521201413427562
ftp_sp_k2	befa.st	1132	1.44106132803971	1.39565168115536	0.0454096468843544	0.262683277123747	0.710402504875835	0.100706713780919	0.0980565371024735	0.0459363957597173
sp_k0	befa.st	1132	1.44106132803971	1.39527047152753	0.0457908565121872	0.264299418701501	0.71707583348264	0.0954063604240283	0.092756183745583	0.0485865724381625
sp_k1	befa.st	1132	1.44106132803971	1.39523426380628	0.0458270642334369	0.263302916370985	0.71053978485622	0.0954063604240283	0.0936395759717314	0.0477031802120141
base_k0	befr.st	524	0.442216609003624	0.40426310947944	0.037953499524184	0.26923778615012	0.740868551874278	0.0896946564885496	0.0877862595419847	0.0572519083969466
ftp_k0	befr.st	524	0.442216609003624	0.406952847483409	0.0352637615202148	0.259321236309271	0.747529774022006	0.0916030534351145	0.0916030534351145	0.0477099236641221
ftp_k1	befr.st	524	0.442216609003624	0.407832851874648	0.0343837571289758	0.25859713340058	0.743267128597876	0.0916030534351145	0.0916030534351145	0.049618320610687
ftp_sp_k0	befr.st	524	0.442216609003624	0.413231421249049	0.0289851877545747	0.225718754699234	0.710662648343172	0.066793893129771	0.066793893129771	0.0400763358778626
ftp_sp_k1	befr.st	524	0.442216609003624	0.412779975269732	0.0294366337338921	0.222643227102019	0.708135669849956	0.0706106870229008	0.0706106870229008	0.0381679389312977
ftp_sp_k2	befr.st	524	0.442216609003624	0.413199251754812	0.029017357248812	0.224004018924778	0.703867183837394	0.066793893129771	0.066793893129771	0.0381679389312977
sp_k0	befr.st	524	0.442216609003624	0.413363593227693	0.0288530157759306	0.225105303988203	0.707462741503704	0.0648854961832061	0.0648854961832061	0.0305343511450382
sp_k1	befr.st	524	0.442216609003624	0.412987386888557	0.0292292221150672	0.225787287977046	0.705708608841743	0.0706106870229008	0.066793893129771	0.032442748091603
