model	response	x	predicted	pred_q05	pred_q95
base_k0	befa.st	0.00753455287049989	2.60258361044639	2.28711283429751	2.98375666741663
base_k0	befa.st	0.0179061225674211	2.49372519204987	2.21688853228285	2.82391447088064
base_k0	befa.st	0.0282776922643423	2.39453609177087	2.15180192532192	2.68070466788882
base_k0	befa.st	0.0386492619612635	2.3041471503986	2.09160881773032	2.55075080282126
base_k0	befa.st	0.0490208316581847	2.22176826323384	2.03627190846429	2.4359519170514
base_k0	befa.st	0.059392401355106	2.14668110500244	1.98489336809304	2.33242802754098
base_k0	befa.st	0.0697639710520272	2.0782325320993	1.93714531786939	2.2389705555247
base_k0	befa.st	0.0801355407489484	2.01582859836772	1.89279842184808	2.15463085396124
base_k0	befa.st	0.0905071104458696	1.95892912669719	1.8506050173114	2.07934479727209
base_k0	befa.st	0.100878680142791	1.90704278421526	1.81104620842077	2.01121947564947
base_k0	befa.st	0.111250249839712	1.8597226138127	1.77502304427673	1.95122313412809
base_k0	befa.st	0.121621819536633	1.8165619792279	1.74132617614173	1.89700558947592
base_k0	befa.st	0.131993389233554	1.77719088497183	1.71035199620605	1.84870933523887
base_k0	befa.st	0.142364958930476	1.74127263604206	1.68114016009063	1.8052826234238
base_k0	befa.st	0.152736528627397	1.70850080568934	1.65391989631691	1.76639074689459
base_k0	befa.st	0.163108098324318	1.67859648249883	1.62901404343796	1.73029782952901
base_k0	befa.st	0.173479668021239	1.65130577075983	1.60604091324867	1.6990473626546
base_k0	befa.st	0.183851237718161	1.62639752055061	1.5847151053686	1.67031586330139
base_k0	befa.st	0.194222807415082	1.60366126618421	1.56473617227438	1.6440944540433
base_k0	befa.st	0.204594377112003	1.582905353669	1.54671678336181	1.62075045781924
base_k0	befa.st	0.214965946808924	1.56395523965443	1.529779932146	1.59942528594205
base_k0	befa.st	0.225337516505845	1.54665194597679	1.51435067204804	1.58021238933667
base_k0	befa.st	0.235709086202767	1.53085065540841	1.50028468544273	1.56252968067211
base_k0	befa.st	0.246080655899688	1.51641943556044	1.48751110329577	1.54649159522286
base_k0	befa.st	0.256452225596609	1.5032380791097	1.47581579781512	1.5317660500795
base_k0	befa.st	0.26682379529353	1.49119704962408	1.46525420814812	1.51843468576485
base_k0	befa.st	0.277195364990451	1.48019652326153	1.45557565371893	1.50621536725038
base_k0	befa.st	0.287566934687373	1.47014551752313	1.44681807183591	1.49487253614776
base_k0	befa.st	0.297938504384294	1.46096109906171	1.43886335335502	1.48452852212334
base_k0	befa.st	0.308310074081215	1.45256766329025	1.43160205030418	1.47492643490742
base_k0	befa.st	0.318681643778136	1.44489627920831	1.42477685725827	1.46626982456172
base_k0	befa.st	0.329053213475058	1.43788409347453	1.41873418746108	1.45835100129777
base_k0	befa.st	0.339424783171979	1.4314737883065	1.41320482545702	1.45104990751611
base_k0	befa.st	0.3497963528689	1.42561308829057	1.40819642756815	1.44435756742831
base_k0	befa.st	0.360167922565821	1.42025431163818	1.40350576277122	1.4381485966112
base_k0	befa.st	0.370539492262742	1.41535396183776	1.39917979392199	1.43237789563329
base_k0	befa.st	0.380911061959664	1.41087235602402	1.39529674755174	1.42705076590787
base_k0	befa.st	0.391282631656585	1.40677328672575	1.39166588901171	1.42234013516737
base_k0	befa.st	0.401654201353506	1.40302371395981	1.38835438836228	1.41810415648264
base_k0	befa.st	0.412025771050427	1.39959348491794	1.38529890562558	1.41431137653757
base_k0	befa.st	0.422397340747348	1.39645507874542	1.38238792518727	1.41063774446844
base_k0	befa.st	0.43276891044427	1.39358337414005	1.37965593205915	1.40754604558587
base_k0	befa.st	0.443140480141191	1.39095543770763	1.37720525854972	1.40469953648833
base_k0	befa.st	0.453512049838112	1.38855033119923	1.37498604257335	1.40219457379733
base_k0	befa.st	0.463883619535033	1.38634893592638	1.37293144891291	1.39981450967786
base_k0	befa.st	0.474255189231954	1.38433379280604	1.3709374430216	1.3979052965655
base_k0	befa.st	0.484626758928876	1.38248895662834	1.36910128356996	1.39600368861436
base_k0	befa.st	0.494998328625797	1.38079986326791	1.36738000249641	1.39435296993467
base_k0	befa.st	0.505369898322718	1.37925320867632	1.36585230246306	1.39284353609673
base_k0	befa.st	0.515741468019639	1.37783683859835	1.36439184308281	1.39150634074438
base_k0	befa.st	0.526113037716561	1.3765396480511	1.36299314052337	1.39035804060311
base_k0	befa.st	0.536484607413482	1.37535148969177	1.36175450787813	1.38921398722071
base_k0	befa.st	0.546856177110403	1.37426309027931	1.36050126647851	1.38819364104423
base_k0	befa.st	0.557227746807324	1.37326597450687	1.35934572445907	1.38733381262661
base_k0	befa.st	0.567599316504245	1.37235239554719	1.35831694537481	1.38649298671477
base_k0	befa.st	0.577970886201167	1.37151527171292	1.357284907066	1.38584924592649
base_k0	befa.st	0.588342455898088	1.37074812868704	1.35628323960685	1.38528704597234
base_k0	befa.st	0.598714025595009	1.37004504682822	1.3555014190726	1.38469904540079
base_k0	befa.st	0.60908559529193	1.36940061310021	1.35475122409969	1.38423447808255
base_k0	befa.st	0.619457164988852	1.36880987721486	1.3540804382153	1.38378532993011
base_k0	befa.st	0.629828734685773	1.36826831161525	1.35335138668254	1.38339873523515
base_k0	befa.st	0.640200304382694	1.36777177495893	1.35265591852555	1.38299858668534
base_k0	befa.st	0.650571874079615	1.36731647879165	1.35216414109796	1.38267556754539
base_k0	befa.st	0.660943443776536	1.36689895712964	1.35148790710788	1.38234326165501
base_k0	befa.st	0.671315013473458	1.36651603869378	1.35094082089568	1.38214650321899
base_k0	befa.st	0.681686583170379	1.36616482156179	1.35048218803462	1.38188713194279
base_k0	befa.st	0.6920581528673	1.36584265002553	1.35006664441207	1.38167793862737
base_k0	befa.st	0.702429722564221	1.36554709345943	1.3496659876959	1.38149613537306
base_k0	befa.st	0.712801292261142	1.36527592702319	1.3493344207782	1.38132333784318
base_k0	befa.st	0.723172861958064	1.36502711403793	1.34901001577503	1.38117011542503
base_k0	befa.st	0.733544431654985	1.36479878988879	1.34870353511227	1.38103097107822
base_k0	befa.st	0.743916001351906	1.36458924732051	1.34840637285052	1.38089654590233
base_k0	befa.st	0.754287571048827	1.36439692300395	1.3481116863848	1.38079267649126
base_k0	befa.st	0.764659140745748	1.36422038526243	1.34783768777538	1.38071790382622
base_k0	befa.st	0.77503071044267	1.36405832285678	1.34753521530457	1.3806362766015
base_k0	befa.st	0.785402280139591	1.36390953473661	1.34734154011961	1.38054492112707
base_k0	befa.st	0.795773849836512	1.36377292067363	1.34711539339188	1.38044497251621
base_k0	befa.st	0.806145419533433	1.36364747270032	1.34692218799881	1.38037417542032
base_k0	befa.st	0.816516989230355	1.36353226728388	1.34676114258929	1.38031268301766
base_k0	befa.st	0.826888558927276	1.36342645817159	1.34657795178485	1.38024851703857
base_k0	befa.st	0.837260128624197	1.36332926984934	1.34639702649631	1.38020509184069
base_k0	befa.st	0.847631698321118	1.36323999156019	1.34622485160481	1.38015412192515
base_k0	befa.st	0.858003268018039	1.3631579718345	1.34609058460297	1.38009503243266
base_k0	befa.st	0.868374837714961	1.36308261348732	1.34594966706816	1.38006990856134
base_k0	befa.st	0.878746407411882	1.36301336904271	1.34585258234203	1.38004313652886
base_k0	befa.st	0.889117977108803	1.36294973654821	1.34577361856703	1.38001110891533
base_k0	befa.st	0.899489546805724	1.36289125574568	1.34565419008587	1.37998328459694
base_k0	befa.st	0.909861116502645	1.36283750456794	1.34559821962862	1.37995738745314
base_k0	befa.st	0.920232686199567	1.36278809593312	1.34552148098883	1.37992148990612
base_k0	befa.st	0.930604255896488	1.36274267481119	1.34542896486048	1.37989004903697
base_k0	befa.st	0.940975825593409	1.36270091553919	1.34536143650108	1.3798703813437
base_k0	befa.st	0.95134739529033	1.36266251936402	1.34530234077492	1.37986533845828
base_k0	befa.st	0.961718964987252	1.36262721219306	1.34526915622977	1.37985888575819
base_k0	befa.st	0.972090534684173	1.36259474253505	1.34520615543087	1.37984497020016
base_k0	befa.st	0.982462104381094	1.36256487961483	1.34513511316135	1.37983191427169
base_k0	befa.st	0.992833674078015	1.36253741164711	1.34506949159074	1.37982297967054
base_k0	befa.st	1.00320524377494	1.36251214425578	1.34501715939932	1.37980469798083
base_k0	befa.st	1.01357681347186	1.36248889902622	1.34497330774259	1.3797837403993
base_k0	befa.st	1.02394838316878	1.36246751217947	1.34491382730792	1.37977993475981
base_k0	befa.st	1.0343199528657	1.36244783335768	1.34488614003125	1.3797515564215
base_k0	befr.st	0.00753455287049989	0.580956652536621	0.514894898600889	0.677908605000027
base_k0	befr.st	0.0179061225674211	0.576533621695774	0.512859544921138	0.668551743757881
base_k0	befr.st	0.0282776922643423	0.572193079733944	0.51087899959583	0.658961235706641
base_k0	befr.st	0.0386492619612635	0.56793282858611	0.508919885051851	0.650194630151219
base_k0	befr.st	0.0490208316581847	0.56375074382721	0.506910913049068	0.641240897509759
base_k0	befr.st	0.059392401355106	0.559644771811654	0.504972757641982	0.632466440683999
base_k0	befr.st	0.0697639710520272	0.555612926936389	0.503029185433187	0.624210772728475
base_k0	befr.st	0.0801355407489484	0.551653289021718	0.501287950082219	0.61659788181496
base_k0	befr.st	0.0905071104458696	0.547764000804361	0.499144574416012	0.609189186475537
base_k0	befr.st	0.100878680142791	0.543943265537562	0.497285255868	0.602195004119951
base_k0	befr.st	0.111250249839712	0.54018934469323	0.495165722057444	0.595311834101502
base_k0	befr.st	0.121621819536633	0.536500555761431	0.493144124156157	0.58866292870924
base_k0	befr.st	0.131993389233554	0.532875270142722	0.491099048991987	0.582317000258612
base_k0	befr.st	0.142364958930476	0.529311911129075	0.489200184362056	0.576433464743613
base_k0	befr.st	0.152736528627397	0.525808951969315	0.487425768745109	0.570275660654097
base_k0	befr.st	0.163108098324318	0.52236491401524	0.485494619540527	0.564397901534046
base_k0	befr.st	0.173479668021239	0.518978364944737	0.483508829428043	0.558941924512242
base_k0	befr.st	0.183851237718161	0.51564791705841	0.481633427371078	0.553574975569986
base_k0	befr.st	0.194222807415082	0.512372225646399	0.479583703196275	0.548329579530651
base_k0	befr.st	0.204594377112003	0.50914998742223	0.477545749621642	0.543252862950074
base_k0	befr.st	0.214965946808924	0.5059799390207	0.475629058962562	0.538352213932302
base_k0	befr.st	0.225337516505845	0.502860855556916	0.473730243171011	0.533724750436407
base_k0	befr.st	0.235709086202767	0.499791549243779	0.471591451345593	0.529251043443927
base_k0	befr.st	0.246080655899688	0.496770868065319	0.469553567453249	0.524905948085129
base_k0	befr.st	0.256452225596609	0.4937976945034	0.467528911402863	0.520908531986229
base_k0	befr.st	0.26682379529353	0.490870944315455	0.465488525095939	0.517049246777934
base_k0	befr.st	0.277195364990451	0.487989565361005	0.463485456165232	0.513365618487188
base_k0	befr.st	0.287566934687373	0.485152536474823	0.461473274266546	0.509834511811622
base_k0	befr.st	0.297938504384294	0.482358866384718	0.459544167530178	0.506414366385164
base_k0	befr.st	0.308310074081215	0.479607592671992	0.457532122790828	0.502894444662586
base_k0	befr.st	0.318681643778136	0.47689778077273	0.455325698762333	0.499430393283165
base_k0	befr.st	0.329053213475058	0.474228523018155	0.453171293209036	0.496069793941965
base_k0	befr.st	0.339424783171979	0.471598937712369	0.451053357942681	0.49294755668189
base_k0	befr.st	0.3497963528689	0.469008168245882	0.448955741013172	0.49000987566225
base_k0	befr.st	0.360167922565821	0.466455382243406	0.446700783248997	0.487136863592972
base_k0	befr.st	0.370539492262742	0.46393977074444	0.444652426591729	0.484176076152582
base_k0	befr.st	0.380911061959664	0.461460547415277	0.442445287662046	0.481237000105497
base_k0	befr.st	0.391282631656585	0.459016947791091	0.440335330364881	0.478613767557313
base_k0	befr.st	0.401654201353506	0.456608228546845	0.438060076657812	0.47593272803563
base_k0	befr.st	0.412025771050427	0.454233666795813	0.435853387084501	0.4733291685573
base_k0	befr.st	0.422397340747348	0.45189255941456	0.433694839910571	0.47070799049195
base_k0	befr.st	0.43276891044427	0.449584222393274	0.431501119727697	0.468297119962528
base_k0	befr.st	0.443140480141191	0.447307990210415	0.42929933670964	0.465855761366168
base_k0	befr.st	0.453512049838112	0.445063215230651	0.427153630163802	0.463404144305248
base_k0	befr.st	0.463883619535033	0.44284926712515	0.425014627469226	0.46111248863388
base_k0	befr.st	0.474255189231954	0.440665532313289	0.422855638538535	0.458943972138971
base_k0	befr.st	0.484626758928876	0.438511413424917	0.420643156512254	0.456663473176904
base_k0	befr.st	0.494998328625797	0.436386328782329	0.418460000628216	0.454453336320943
base_k0	befr.st	0.505369898322718	0.434289711901154	0.416401752532504	0.452228463807005
base_k0	befr.st	0.515741468019639	0.432221011009394	0.41429638436998	0.450154236933244
base_k0	befr.st	0.526113037716561	0.430179688583878	0.412427864482689	0.448036529687811
base_k0	befr.st	0.536484607413482	0.428165220903435	0.410305558687227	0.445954677158719
base_k0	befr.st	0.546856177110403	0.426177097618119	0.408227549853432	0.444044792928971
base_k0	befr.st	0.557227746807324	0.424214821333844	0.406217620624099	0.44211151296302
base_k0	befr.st	0.567599316504245	0.422277907211813	0.404034270367085	0.440348376526536
base_k0	befr.st	0.577970886201167	0.420365882582172	0.40212690496194	0.438513739375364
base_k0	befr.st	0.588342455898088	0.418478286571306	0.400187106781273	0.436726379582159
base_k0	befr.st	0.598714025595009	0.416614669742258	0.398362614084035	0.435057970089001
base_k0	befr.st	0.60908559529193	0.41477459374775	0.39644074131025	0.433367932240474
base_k0	befr.st	0.619457164988852	0.412957630995321	0.394676722101238	0.431637001418982
base_k0	befr.st	0.629828734685773	0.411163364324103	0.392768683259714	0.429928432481745
base_k0	befr.st	0.640200304382694	0.40939138669279	0.390835938585597	0.428415941341385
base_k0	befr.st	0.650571874079615	0.40764130087837	0.388877374093766	0.426791778493487
base_k0	befr.st	0.660943443776536	0.405912719185203	0.386924190089687	0.42523095305958
base_k0	befr.st	0.671315013473458	0.404205263164046	0.385080953364872	0.423658381722374
base_k0	befr.st	0.681686583170379	0.402518563340657	0.383229131656473	0.422216675800749
base_k0	befr.st	0.6920581528673	0.400852258953603	0.381345717244552	0.420861959846276
base_k0	befr.st	0.702429722564221	0.399205997700929	0.379582192698567	0.419454864007243
