forest_type	sp_code	species	response	n	mean	variance	shape	rate
mono_N	CO	Chamaecyparis_obtusa	befa.st	48	1.37005167361998	0.0575956315680355	32.5899992288761	23.7874233916784
mono_N	CO	Chamaecyparis_obtusa	befr.st	29	0.263968982425893	0.0306747952194383	2.27155953884921	8.60540324841739
mono_N	CJ	Cryptomeria_japonica	befa.st	63	1.35171398461703	0.0333881462632629	54.7239335122854	40.4848467464733
mono_N	CJ	Cryptomeria_japonica	befr.st	25	0.32780772647615	0.0112999942917281	9.5095539664232	29.009547970844
mono_N	LL	Larix_kaempferi	befa.st	76	1.36071038325163	0.115694033245698	16.0037012726206	11.7612840098841
mono_N	LL	Larix_kaempferi	befr.st	30	0.376675995914045	0.0305288938023155	4.64755804178781	12.3383440734258
mono_N	PD	Pinus_densiflora	befa.st	150	1.3674264692479	0.0625458851005128	29.8957340805855	21.8627726996015
mono_N	PD	Pinus_densiflora	befr.st	70	0.34054928205678	0.0126358869121872	9.17813006046553	26.9509599463353
mono_N	PDe	Pinus_densiflora_e	befa.st	75	1.54849904695458	0.231320286727774	10.3659274002246	6.69417744919583
mono_N	PDe	Pinus_densiflora_e	befr.st	33	0.413174612217822	0.0266797028005279	6.39861925965567	15.4864773159934
mono_N	PK	Pinus_koraiensis	befa.st	65	1.75413090782512	0.251838444293136	12.2180521342716	6.96530234988007
mono_N	PK	Pinus_koraiensis	befr.st	36	0.425021123036667	0.027592500916162	6.54681341050675	15.4035012747871
mono_N	PR	Pinus_rigida	befa.st	55	1.31547268149062	0.0805828269088884	21.4744064229055	16.3244791967644
mono_N	PR	Pinus_rigida	befr.st	27	0.526201996457543	0.0609536401482607	4.54260878271443	8.63282316162963
mono_N	PT	Pinus_thunbergii	befa.st	64	1.42157419884063	0.062064139282016	32.5610445288968	22.904920865511
mono_N	PT	Pinus_thunbergii	befr.st	24	0.422525332413699	0.0274745747116769	6.49792247577289	15.378776081077
mono_B	BP	Betula_platyphylla	befa.st	25	1.35938671721364	0.0715856976858746	25.8142660709378	18.9896412434055
mono_B	BP	Betula_platyphylla	befr.st	18	0.465561780631186	0.0161543402296605	13.4173088162719	28.81960971556
mono_B	CL	Carpinus_laxiflora	befa.st	27	1.61764162938532	0.151599419901993	17.2610452125219	10.6705001274484
mono_B	CL	Carpinus_laxiflora	befr.st	23	0.436119088891885	0.0727283447484922	2.61520952186708	5.99654908138037
mono_B	CS	Castanopsis_sieboldii	befa.st	35	1.27766540882788	0.0216769917509841	75.3069851973905	58.9410847918912
mono_B	CS	Castanopsis_sieboldii	befr.st	10	0.592627158380834	0.0967924673774149	3.62845331218916	6.12265783111047
mono_B	QAt	Quercus_acuta	befa.st	37	1.52671043525385	0.166707108048462	13.9816758889215	9.15804042866628
mono_B	QAt	Quercus_acuta	befr.st	21	0.344455506164485	0.0342485164074389	3.46437183776115	10.0575307282411
mono_B	QAc	Quercus_acutissima	befa.st	60	1.41142030124131	0.0880731695990925	22.6187756819034	16.025542258398
mono_B	QAc	Quercus_acutissima	befr.st	29	0.466881932046489	0.0932727404330452	2.33700368896029	5.00555607006782
mono_B	QG	Quercus_glauca	befa.st	27	1.94777301434946	0.348303803148033	10.892271864788	5.59216694375753
mono_B	QG	Quercus_glauca	befr.st	9	0.677554711770404	0.0621359221975732	7.38832500115698	10.9043961658119
mono_B	QM	Quercus_mongolica	befa.st	83	1.51590311996285	0.0922058024712063	24.9221004267135	16.4404308550564
mono_B	QM	Quercus_mongolica	befr.st	35	0.683401489123244	0.172211271759163	2.71200363695715	3.96839000224665
mono_B	QS	Quercus_serrata	befa.st	30	1.51361301168807	0.129956804758507	17.6291218717538	11.6470469899652
mono_B	QS	Quercus_serrata	befr.st	17	0.794272318817335	0.207312477657791	3.04308029872102	3.83128081720404
mono_B	QV	Quercus_variabilis	befa.st	75	1.27716517843293	0.0272667330083474	59.8220143389481	46.8396847558504
mono_B	QV	Quercus_variabilis	befr.st	32	0.443068378374025	0.0214080476563477	9.16989681012694	20.6963467891315
mono_B	MT	Machilus_thunbergii	befa.st	14	2.02611895316976	0.138502497594201	29.6395955574856	14.6287539095944
mono_B	MT	Machilus_thunbergii	befr.st	0	NA	NA	NA	NA
mono_B	NS	Neolitsea_sericea	befa.st	10	1.50903332402077	0.0318627816967387	71.4683857385323	47.3603760771215
mono_B	NS	Neolitsea_sericea	befr.st	0	NA	NA	NA	NA
mono_B	LT	Liriodendron_tulipifera	befa.st	39	1.20305935578107	0.0366847258802574	39.4537993348145	32.7945575962042
mono_B	LT	Liriodendron_tulipifera	befr.st	20	0.287672690178657	0.0294831512418587	2.8068769174556	9.75718937975102
mono_B	PxT	Populus_x_tomentiglandulosa	befa.st	24	1.16561726183387	0.00368436431089384	368.764727491206	316.368622502232
mono_B	PxT	Populus_x_tomentiglandulosa	befr.st	10	0.192106082311603	0.00174033844162969	21.2055000213371	110.38432394317
mono_B	CJa	Camellia_japonica	befa.st	15	1.74908157974008	0.0382719659203074	79.9354383560099	45.7013779585334
mono_B	CJa	Camellia_japonica	befr.st	9	0.601031710564536	0.0722567090042425	4.99938513782744	8.31800560594653
