model	model_structure	family	variable	mean	median	sd	mad	q5	q95
ftp_k0_gamma	ftp_k0	gamma	sd_h1__y2_logA_Intercept	0.410920564546907	0.272189015	0.451149098385796	0.2721485534397	0.02082966225	1.281192875
ftp_k0_gamma	ftp_k0	gamma	shape_y1m1	2.3876626951375	2.38696325	0.0945155483836532	0.0946422899100003	2.23456351	2.54570523
ftp_k0_gamma	ftp_k0	gamma	shape_y2	4.1635666569875	4.1575074	0.247529017229935	0.2505986889	3.763991605	4.57476369
ftp_k0_lognormal	ftp_k0	lognormal	b_y1m1_logL_Intercept	-2.92590737897712	-2.92714655	0.838948803119674	0.85197364371	-4.31426661	-1.556225175
ftp_k0_lognormal	ftp_k0	lognormal	b_y1m1_logA_Intercept	-1.3740213191067	-1.37407025	0.716469584159443	0.699044261727	-2.54949663	-0.197691952
ftp_k0_lognormal	ftp_k0	lognormal	b_y1m1_logk_Intercept	1.0058515355975	0.922557185	1.22511982650114	1.4489746831497	-0.8947512575	2.93461217
ftp_k0_lognormal	ftp_k0	lognormal	b_y2_logL_Intercept	-3.0097167553732	-3.0006012	0.872928158152676	0.87429233346	-4.465786415	-1.586506625
ftp_k0_lognormal	ftp_k0	lognormal	b_y2_logA_Intercept	-1.42558274202746	-1.4266255	0.736675996424984	0.73570785519	-2.652472015	-0.213972527000002
ftp_k0_lognormal	ftp_k0	lognormal	b_y2_logk_Intercept	0.677240999486727	0.62203701	1.08126481592831	1.133309973873	-1.035554845	2.514380255
ftp_k0_lognormal	ftp_k0	lognormal	sd_h1__y1m1_logL_Intercept	3.69918592363	3.4762285	1.55910279402666	1.41453865245	1.598363255	6.51560171
ftp_k0_lognormal	ftp_k0	lognormal	sd_h1__y1m1_logA_Intercept	3.24199307370063	3.1987549	1.97507456485378	2.00084512803	0.2266323505	6.584582595
ftp_k0_lognormal	ftp_k0	lognormal	sd_h1__y2_logL_Intercept	3.24265574364235	3.0460623	1.57709468492329	1.43744474832	1.08501603	6.10523826
ftp_k0_lognormal	ftp_k0	lognormal	sd_h1__y2_logA_Intercept	3.40448628471418	3.27773475	1.78221583153726	1.63527421911	0.5451723685	6.52622173499999
ftp_k0_lognormal	ftp_k0	lognormal	sigma_y1m1	1.3229405233	1.3226434	0.0275139897958027	0.02687375586	1.27790176	1.36881699
ftp_k0_lognormal	ftp_k0	lognormal	sigma_y2	1.10186607612375	1.10156655	0.0333845068862035	0.03306324021	1.047699555	1.157289775
ftp_k0_student	ftp_k0	student	b_z1_logL_Intercept	-2.17910484719489	-2.17423755	0.833242890386607	0.83901623862	-3.56349466	-0.820399228
ftp_k0_student	ftp_k0	student	b_z1_logA_Intercept	-0.963653431001375	-0.963099065	0.734728704279829	0.727095698658	-2.16127678	0.249936579999999
ftp_k0_student	ftp_k0	student	b_z1_logk_Intercept	0.969848281607048	0.84452589	1.25623971561481	1.414844208897	-0.9782117975	2.992095955
ftp_k0_student	ftp_k0	student	b_z2_logL_Intercept	-2.22816267499153	-2.21418545	0.864356336882196	0.86056227138	-3.674061005	-0.8396108795
ftp_k0_student	ftp_k0	student	b_z2_logA_Intercept	-0.821298250686718	-0.82774935	0.711319184599893	0.701131777353	-2.01615585	0.3464948135
ftp_k0_student	ftp_k0	student	b_z2_logk_Intercept	0.559066633119859	0.483760715	1.04226173854352	1.045360296036	-1.053574005	2.426158155
ftp_k0_student	ftp_k0	student	sd_h1__z1_logL_Intercept	4.18191539359375	3.9438748	1.60342603777572	1.47997127607	2.0429165	7.152323455
ftp_k0_student	ftp_k0	student	sd_h1__z1_logA_Intercept	3.5478449837299	3.53345585	2.01869046344224	1.91910145812	0.3124047855	7.01123909
ftp_k0_student	ftp_k0	student	sd_h1__z2_logL_Intercept	3.816309030864	3.5780972	1.58715983527429	1.41625950627	1.6917791	6.766502415
ftp_k0_student	ftp_k0	student	sd_h1__z2_logA_Intercept	3.90445484595709	3.74426955	1.7869050749624	1.60761831762	1.184056905	7.04219703
ftp_k0_student	ftp_k0	student	sigma_z1	1.3094926561625	1.3087369	0.0283917466870527	0.0284962391699999	1.26330865	1.356386295
ftp_k0_student	ftp_k0	student	sigma_z2	1.09076362658375	1.09035675	0.034766648854231	0.0346946932499999	1.03408914	1.149269405
ftp_k0_student	ftp_k0	student	nu_z1	62.444543844875	59.805371	19.2583001742064	18.2840562702	36.3245085	98.5352927
ftp_k0_student	ftp_k0	student	nu_z2	50.939386593	48.40142	17.6645866262783	16.5151306278	27.0821206	83.8744431
ftp_k1_gamma	ftp_k1	gamma	b_y1m1_logL_Intercept	-1.36920459009211	-1.2572949	0.490114211587011	0.36516059937	-2.34440271	-0.763531688
ftp_k1_gamma	ftp_k1	gamma	b_y1m1_logA_Intercept	-0.185827220534878	-0.0865538595	0.497067148573149	0.4507932172947	-1.13806064	0.452700557
ftp_k1_gamma	ftp_k1	gamma	b_y1m1_logk_Intercept	1.31974032470731	1.50896055	0.748520757358346	0.69249903492	-0.1388417805	2.19789418
ftp_k1_gamma	ftp_k1	gamma	b_y2_logL_Intercept	-2.11767124368988	-2.0377276	0.694470249494391	0.70503753138	-3.359440925	-1.124374475
ftp_k1_gamma	ftp_k1	gamma	b_y2_logA_Intercept	-0.858848013454087	-0.838272485	0.314668245535374	0.266712490086	-1.384190625	-0.391610386000001
ftp_k1_gamma	ftp_k1	gamma	b_y2_logk_Intercept	-0.0303807041270329	-0.07339455	0.53160539711388	0.506867470305	-0.832798224	0.8964666665
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y1m1_logL_Intercept	0.704279431644625	0.518286415	0.589749218937484	0.383797296498	0.164906976	1.844192515
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y1m1_logA_Intercept	0.689502773367306	0.523148935	0.612741238619539	0.474547012695	0.0545364872	1.86934594
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y1m1_logk_Intercept	0.988788851370004	0.774870445	0.858514947536453	0.741891935463	0.0642818423	2.69742605
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y2_logL_Intercept	0.822878053483017	0.631802115	0.729762251357789	0.547508049312	0.0736993678	2.248038025
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y2_logA_Intercept	0.387028963678156	0.244884525	0.434121978029049	0.245885110611	0.02087393985	1.20721523
ftp_k1_gamma	ftp_k1	gamma	sd_h1__y2_logk_Intercept	0.624094099533613	0.46629164	0.576374265747042	0.430015720638	0.0411190133	1.757305145
ftp_k1_gamma	ftp_k1	gamma	shape_y1m1	2.3888877763	2.38755535	0.0934279373925737	0.09131741115	2.235437875	2.54572786
ftp_k1_gamma	ftp_k1	gamma	shape_y2	4.16244786325	4.1564014	0.2416348471565	0.23993026995	3.765650195	4.572773045
ftp_k1_lognormal	ftp_k1	lognormal	b_y1m1_logL_Intercept	-2.92304998724287	-2.9091395	0.842433715076259	0.826867591829999	-4.341935445	-1.574412275
ftp_k1_lognormal	ftp_k1	lognormal	b_y1m1_logA_Intercept	-1.13400446385167	-1.12301105	0.710400396434277	0.715351342062	-2.30959576	0.01016110645
ftp_k1_lognormal	ftp_k1	lognormal	b_y1m1_logk_Intercept	0.705447373859301	0.67988564	0.887731886422835	0.8746920527982	-0.730755568	2.224029295
ftp_k1_lognormal	ftp_k1	lognormal	b_y2_logL_Intercept	-3.00226796565312	-3.0010315	0.873268727029221	0.86598562218	-4.459236995	-1.58722676
ftp_k1_lognormal	ftp_k1	lognormal	b_y2_logA_Intercept	-1.27239057754835	-1.268073	0.708117466368286	0.703866477531	-2.439027525	-0.0928161726500009
ftp_k1_lognormal	ftp_k1	lognormal	b_y2_logk_Intercept	0.596013274311749	0.602571615	0.874503203336263	0.882778713621	-0.8328634235	2.030528735
ftp_k1_lognormal	ftp_k1	lognormal	sd_h1__y1m1_logL_Intercept	3.706230002515	3.4601704	1.58158065796274	1.44958242387	1.557603215	6.65596602
ftp_k1_lognormal	ftp_k1	lognormal	sd_h1__y1m1_logA_Intercept	1.47540332818919	0.909846625	1.55777019776051	1.009049153658	0.0544035595	4.735155895
ftp_k1_lognormal	ftp_k1	lognormal	sd_h1__y1m1_logk_Intercept	2.61510601599739	2.4397445	1.58377348700253	1.46312167533	0.307935501	5.410540985
ftp_k1_lognormal	ftp_k1	lognormal	sd_h1__y2_logL_Intercept	3.25332262528899	3.0278712	1.61146328697655	1.43283527079	1.02827248	6.172390065
ftp_k1_lognormal	ftp_k1	lognormal	sd_h1__y2_logA_Intercept	1.88465779318189	1.3890975	1.68316675640184	1.526419532862	0.09160790115	5.140691245
ftp_k1_lognormal	ftp_k1	lognormal	sd_h1__y2_logk_Intercept	2.49593095599573	2.31157745	1.69908966724928	1.71906320985	0.187184631	5.57726031
ftp_k1_lognormal	ftp_k1	lognormal	sigma_y1m1	1.3225202735875	1.3222232	0.0278248842523012	0.02695678146	1.277362045	1.368446545
ftp_k1_lognormal	ftp_k1	lognormal	sigma_y2	1.10078098979875	1.10064265	0.0334812207196874	0.03346769349	1.046319315	1.156410355
ftp_k1_student	ftp_k1	student	b_z1_logL_Intercept	-2.15636805634164	-2.1446214	0.823076944090805	0.8174441121	-3.524181085	-0.826724168000001
ftp_k1_student	ftp_k1	student	b_z1_logA_Intercept	-0.731769943248101	-0.71932677	0.67988741680087	0.672019925598	-1.88124401	0.371546512499999
ftp_k1_student	ftp_k1	student	b_z1_logk_Intercept	0.677674424223487	0.68044517	0.874083086065015	0.862511415948	-0.7519680225	2.15694521
ftp_k1_student	ftp_k1	student	b_z2_logL_Intercept	-2.22355222373687	-2.2116814	0.846565077687106	0.83649633753	-3.648727015	-0.858237344500001
ftp_k1_student	ftp_k1	student	b_z2_logA_Intercept	-0.693841523455442	-0.692864675	0.706070219143004	0.713144210268	-1.860562075	0.474835141999999
ftp_k1_student	ftp_k1	student	b_z2_logk_Intercept	0.577531722602109	0.579930335	0.876602769919184	0.8818961262888	-0.8638388175	2.03444816
ftp_k1_student	ftp_k1	student	sd_h1__z1_logL_Intercept	4.184380946495	3.9572858	1.57713131719018	1.45269588387	2.03716527	7.101586505
ftp_k1_student	ftp_k1	student	sd_h1__z1_logA_Intercept	1.42767259925038	0.84296104	1.5517201500659	0.935203872162	0.06270881145	4.732977075
ftp_k1_student	ftp_k1	student	sd_h1__z1_logk_Intercept	2.79598892653192	2.6122023	1.56222849873291	1.43876255733	0.446661503	5.58425136
ftp_k1_student	ftp_k1	student	sd_h1__z2_logL_Intercept	3.816362032965	3.5987604	1.57356207908393	1.43185853391	1.71054089	6.757401245
ftp_k1_student	ftp_k1	student	sd_h1__z2_logA_Intercept	1.88643588352871	1.30839975	1.76510609043371	1.508104389435	0.08001890595	5.367389985
ftp_k1_student	ftp_k1	student	sd_h1__z2_logk_Intercept	2.76778366316646	2.6541323	1.74657674530419	1.760787651	0.2183824755	5.84066243
