model	model_structure	family	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
base_k0_gamma	base_k0	gamma	befa.st	1132	1.44106132803971	1.37771132175218	0.0633500062875355	0.322472389682472	0.75732873052266	0.0909893992932862	0.0892226148409894	0.049469964664311
base_k0_gaussian	base_k0	gaussian	befa.st	1132	1.44106132803971	1.44017739898101	0.000883929058705737	0.315753252357278	0.702614570937874	0.073321554770318	0.0724381625441696	0.0485865724381625
base_k0_lognormal	base_k0	lognormal	befa.st	1132	1.44106132803971	1.3527603624416	0.0883009655981081	0.327986258954639	0.634393270911721	0.0989399293286219	0.0962897526501767	0.0512367491166078
base_k0_student	base_k0	student	befa.st	1132	1.44106132803971	1.44053154335457	0.000529784685142238	0.315382757648252	0.698551447902032	0.0724381625441696	0.0724381625441696	0.0477031802120141
ftp_k0_gamma	ftp_k0	gamma	befa.st	1132	1.44106132803971	1.38042408134892	0.0606372466907951	0.318620761173033	0.758461209139044	0.0901060070671378	0.088339222614841	0.0512367491166078
ftp_k0_lognormal	ftp_k0	lognormal	befa.st	1132	1.44106132803971	2.00535034300014	-0.564289014960428	0.668394360360907	0.130213723497371	0.073321554770318	0.0724381625441696	0.0203180212014134
ftp_k0_student	ftp_k0	student	befa.st	1132	1.44106132803971	2.00582457719584	-0.564763249156126	0.666521480430683	0.115399582769538	0.0706713780918728	0.0706713780918728	0.0159010600706714
ftp_k1_gamma	ftp_k1	gamma	befa.st	1132	1.44106132803971	1.38037515990053	0.0606861681391798	0.319162349417444	0.758557371323461	0.0892226148409894	0.0865724381625442	0.0503533568904594
ftp_k1_lognormal	ftp_k1	lognormal	befa.st	1132	1.44106132803971	2.00847821811042	-0.56741689007071	0.669517768102121	0.129517637669676	0.0662544169611307	0.0636042402826855	0.0185512367491166
ftp_k1_student	ftp_k1	student	befa.st	1132	1.44106132803971	2.00370080181441	-0.562639473774702	0.664097605630834	0.115869267461623	0.0724381625441696	0.0706713780918728	0.0176678445229682
ftp_sp_k0_gamma	ftp_sp_k0	gamma	befa.st	1132	1.44106132803971	1.39607642051759	0.0449849075221204	0.263237409468296	0.71388519357161	0.0971731448763251	0.0962897526501767	0.0441696113074205
ftp_sp_k0_lognormal	ftp_sp_k0	lognormal	befa.st	1132	1.44106132803971	2.00338135943638	-0.562320031396671	0.666898975176408	0.126716970746412	0.0662544169611307	0.0644876325088339	0.0220848056537102
ftp_sp_k0_student	ftp_sp_k0	student	befa.st	1132	1.44106132803971	2.00693052992197	-0.56586920188226	0.668846282870023	0.115736536658833	0.0724381625441696	0.068904593639576	0.015017667844523
ftp_sp_k1_gamma	ftp_sp_k1	gamma	befa.st	1132	1.44106132803971	1.39495121308319	0.0461101149565234	0.263872035802763	0.716702395005735	0.0954063604240283	0.0936395759717314	0.0503533568904594
ftp_sp_k1_lognormal	ftp_sp_k1	lognormal	befa.st	1132	1.44106132803971	2.00709058339045	-0.566029255350736	0.667951960981209	0.128803491331284	0.0750883392226148	0.0742049469964664	0.019434628975265
ftp_sp_k1_student	ftp_sp_k1	student	befa.st	1132	1.44106132803971	2.00617096447624	-0.565109636436523	0.666420321744987	0.117087710743269	0.068904593639576	0.068904593639576	0.0132508833922261
ftp_sp_k2_gamma	ftp_sp_k2	gamma	befa.st	1132	1.44106132803971	1.39483538538391	0.0462259426557983	0.263123945625409	0.710214421758197	0.0909893992932862	0.0909893992932862	0.0459363957597173
ftp_sp_k2_lognormal	ftp_sp_k2	lognormal	befa.st	1132	1.44106132803971	2.00280233867803	-0.561741010638312	0.663261023356708	0.129060904280602	0.0759717314487632	0.073321554770318	0.0167844522968198
ftp_sp_k2_student	ftp_sp_k2	student	befa.st	1132	1.44106132803971	2.00183077145089	-0.560769443411175	0.664073568717244	0.11586318968327	0.0644876325088339	0.0644876325088339	0.015017667844523
PFT_k0_gamma	PFT_k0	gamma	befa.st	1132	1.44106132803971	1.38401534696673	0.0570459810729808	0.312455619685919	0.750206414934032	0.0980565371024735	0.0980565371024735	0.0503533568904594
PFT_k0_lognormal	PFT_k0	lognormal	befa.st	1132	1.44106132803971	1.35829997951984	0.0827613485198684	0.316488012480122	0.620672878137818	0.0909893992932862	0.0901060070671378	0.0459363957597173
PFT_k0_student	PFT_k0	student	befa.st	1132	1.44106132803971	2.00658249839139	-0.565521170351681	0.665526145550225	0.115610851003874	0.073321554770318	0.0715547703180212	0.0159010600706714
PFT_k1_gamma	PFT_k1	gamma	befa.st	1132	1.44106132803971	1.38387407465093	0.0571872533887847	0.309187656938303	0.745834894230625	0.0945229681978799	0.0909893992932862	0.0521201413427562
PFT_k1_lognormal	PFT_k1	lognormal	befa.st	1132	1.44106132803971	1.35844407584336	0.082617252196352	0.313739405917636	0.617099842165922	0.092756183745583	0.0909893992932862	0.0459363957597173
PFT_k1_student	PFT_k1	student	befa.st	1132	1.44106132803971	2.00360956523198	-0.562548237192264	0.664386091341197	0.115951715664984	0.0786219081272085	0.0777385159010601	0.0167844522968198
PFT_sp_k0_gamma	PFT_sp_k0	gamma	befa.st	1132	1.44106132803971	1.39610530112268	0.0449560269170351	0.263930993091078	0.71484280596202	0.0954063604240283	0.0945229681978799	0.0441696113074205
PFT_sp_k0_lognormal	PFT_sp_k0	lognormal	befa.st	1132	1.44106132803971	1.37663940871476	0.0644219193249505	0.269461591815015	0.60854696204522	0.0936395759717314	0.0918727915194346	0.049469964664311
PFT_sp_k0_student	PFT_sp_k0	student	befa.st	1132	1.44106132803971	2.00563299407516	-0.564571666035448	0.66473555408751	0.114628041556903	0.0680212014134276	0.0653710247349823	0.0167844522968198
PFT_sp_k1_gamma	PFT_sp_k1	gamma	befa.st	1132	1.44106132803971	1.39516943690666	0.0458918911330533	0.26415668631958	0.712286264196123	0.101590106007067	0.100706713780919	0.0468197879858657
PFT_sp_k1_lognormal	PFT_sp_k1	lognormal	befa.st	1132	1.44106132803971	1.37666002710442	0.0644013009352978	0.268403568958966	0.605490730870806	0.0909893992932862	0.0909893992932862	0.049469964664311
PFT_sp_k1_student	PFT_sp_k1	student	befa.st	1132	1.44106132803971	2.00355914350509	-0.562497815465375	0.665747367281052	0.112405729262003	0.068904593639576	0.068904593639576	0.0212014134275618
PFT_sp_k2_gamma	PFT_sp_k2	gamma	befa.st	1132	1.44106132803971	1.39463570170035	0.0464256263393617	0.262443923198816	0.709493879934324	0.0945229681978799	0.0945229681978799	0.0468197879858657
PFT_sp_k2_lognormal	PFT_sp_k2	lognormal	befa.st	1132	1.44106132803971	1.37595665746603	0.065104670573682	0.267357442826402	0.602634948358276	0.0918727915194346	0.0901060070671378	0.0477031802120141
PFT_sp_k2_student	PFT_sp_k2	student	befa.st	1132	1.44106132803971	2.00866767932847	-0.567606351288753	0.669674574322978	0.115706317261237	0.0706713780918728	0.0706713780918728	0.0176678445229682
sp_k0_gamma	sp_k0	gamma	befa.st	1132	1.44106132803971	1.39595332540203	0.0451080026376793	0.263795264563526	0.714321746137576	0.0962897526501767	0.0962897526501767	0.049469964664311
sp_k0_lognormal	sp_k0	lognormal	befa.st	1132	1.44106132803971	2.01308050248269	-0.572019174442978	0.670552666734458	0.126801883971255	0.073321554770318	0.0697879858657244	0.0176678445229682
sp_k0_student	sp_k0	student	befa.st	1132	1.44106132803971	2.0169172480957	-0.57585592005599	0.672521711334482	0.114715267681441	0.0706713780918728	0.068904593639576	0.0176678445229682
sp_k1_gamma	sp_k1	gamma	befa.st	1132	1.44106132803971	1.39528318881387	0.0457781392258464	0.263712451331836	0.712409010396886	0.092756183745583	0.092756183745583	0.0441696113074205
sp_k1_lognormal	sp_k1	lognormal	befa.st	1132	1.44106132803971	2.01288028945702	-0.571818961417312	0.671285854243135	0.126909886973934	0.0724381625441696	0.0706713780918728	0.0185512367491166
sp_k1_student	sp_k1	student	befa.st	1132	1.44106132803971	2.01631200946658	-0.575250681426869	0.67189305139331	0.114100809780133	0.0715547703180212	0.0697879858657244	0.0132508833922261
