file	source_data	split_variable	purpose
05_residual_vs_predicted_h1_h2_befa_beft_dominant_genus_carpinus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_h1_h2_befa_beft_dominant_genus_carpinus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h1_befa_beft_dominant_genus_carpinus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h2_befa_beft_dominant_genus_carpinus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_predicted_h1_h2_befa_beft_dominant_genus_betula.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_h1_h2_befa_beft_dominant_genus_betula.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h1_befa_beft_dominant_genus_betula.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h2_befa_beft_dominant_genus_betula.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_predicted_h1_h2_befa_beft_dominant_genus_populus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_h1_h2_befa_beft_dominant_genus_populus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h1_befa_beft_dominant_genus_populus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h2_befa_beft_dominant_genus_populus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_predicted_h1_h2_befa_beft_dominant_genus_castanopsis.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_h1_h2_befa_beft_dominant_genus_castanopsis.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h1_befa_beft_dominant_genus_castanopsis.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h2_befa_beft_dominant_genus_castanopsis.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_predicted_h1_h2_befa_beft_dominant_genus_camellia.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_h1_h2_befa_beft_dominant_genus_camellia.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h1_befa_beft_dominant_genus_camellia.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h2_befa_beft_dominant_genus_camellia.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_predicted_h1_h2_befa_beft_dominant_genus_machilus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_h1_h2_befa_beft_dominant_genus_machilus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h1_befa_beft_dominant_genus_machilus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h2_befa_beft_dominant_genus_machilus.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_predicted_h1_h2_befa_beft_dominant_genus_eurya.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_h1_h2_befa_beft_dominant_genus_eurya.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h1_befa_beft_dominant_genus_eurya.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
05_residual_vs_rsd_mean_h2_befa_beft_dominant_genus_eurya.pdf	processed_data/bef_bayes_gamma/05_observed_vs_predicted.txt joined to processed_data/plot_biomass.txt	dominant_genus	Residual diagnostic figure split by dominant species group, using within-split h1/h2 mean residuals.
