model	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
base_k0	befa.st	1132	1.44106132803971	1.37765420398412	0.0634071240555895	0.322765740321594	0.760593735994372	0.092756183745583	0.092756183745583	0.0512367491166078
ftp_k0	befa.st	1132	1.44106132803971	1.38011161764948	0.0609497103902364	0.319008422568237	0.755131633414584	0.0830388692579505	0.0821554770318021	0.0530035335689046
ftp_k1	befa.st	1132	1.44106132803971	1.38003972040868	0.0610216076310289	0.319289375188332	0.758491943365798	0.0865724381625442	0.0865724381625442	0.0503533568904594
ftp_sp_k0	befa.st	1132	1.44106132803971	1.39567962960821	0.0453816984315074	0.26449090253007	0.717402269707469	0.100706713780919	0.0980565371024735	0.0459363957597173
ftp_sp_k1	befa.st	1132	1.44106132803971	1.39510735778243	0.0459539702572801	0.26413217530782	0.716549293512	0.0962897526501767	0.0962897526501767	0.0477031802120141
ftp_sp_k2	befa.st	1132	1.44106132803971	1.39614152671245	0.0449198013272606	0.2625485023378	0.708658059169861	0.0954063604240283	0.092756183745583	0.0468197879858657
sp_k0	befa.st	1132	1.44106132803971	1.39550448784341	0.045556840196302	0.263967472311185	0.716256327161627	0.0971731448763251	0.0954063604240283	0.0459363957597173
sp_k1	befa.st	1132	1.44106132803971	1.39493549343219	0.0461258346075184	0.263441633300948	0.711764854419158	0.0962897526501767	0.0954063604240283	0.0468197879858657
base_k0	befr.st	524	0.442216609003624	0.403878819771562	0.038337789232062	0.269169525969105	0.74193225811312	0.0896946564885496	0.0896946564885496	0.0572519083969466
ftp_k0	befr.st	524	0.442216609003624	0.407250730651671	0.034965878351953	0.259087788650918	0.742785733341022	0.0858778625954199	0.0858778625954199	0.049618320610687
ftp_k1	befr.st	524	0.442216609003624	0.407752204118722	0.0344644048849015	0.259179720709891	0.742048781266402	0.0896946564885496	0.0877862595419847	0.0477099236641221
ftp_sp_k0	befr.st	524	0.442216609003624	0.413956854882797	0.0282597541208265	0.22593911237097	0.713287353584428	0.0706106870229008	0.0706106870229008	0.0343511450381679
ftp_sp_k1	befr.st	524	0.442216609003624	0.412098296004925	0.0301183129986993	0.222383500299075	0.704766109155866	0.066793893129771	0.066793893129771	0.0343511450381679
ftp_sp_k2	befr.st	524	0.442216609003624	0.413414082097624	0.0288025269059999	0.223338316394408	0.702062232174088	0.066793893129771	0.0648854961832061	0.0362595419847328
sp_k0	befr.st	524	0.442216609003624	0.413671096233365	0.0285455127702593	0.226356126267698	0.711374699924139	0.0706106870229008	0.0706106870229008	0.0343511450381679
sp_k1	befr.st	524	0.442216609003624	0.413311309136841	0.0289052998667826	0.226451158400945	0.713556064608908	0.0706106870229008	0.0687022900763359	0.0343511450381679
