model	model_structure	hierarchy	k_depth	response	estimate_level	application_group	parameter	mean	median	sd	q025	q05	q95	q975
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QAc	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QAc	L	0.352301341260382	0.350983736324383	0.0311494644779829	0.29533018290685	0.303528170739782	0.404423684522169	0.415702795814194
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QAt	A	1.18098147749881	1.14256543437674	0.354231034282215	0.615059239553142	0.684317269761919	1.81368893199404	2.00393896148274
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QAt	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QAt	L	0.352528379430296	0.349694522107142	0.0452743822031729	0.272341600920303	0.282866382654879	0.43256589884341	0.449455619939419
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QG	A	0.999485993504176	0.919160987646381	0.447487477680577	0.371545249254785	0.44116338099889	1.81428372531932	2.0654718834634
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QG	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QG	L	0.91459311745361	0.908180565399436	0.0954556716449129	0.749191695010324	0.770964665547974	1.08198292214379	1.12359250669394
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QM	A	1.06168952140548	0.997316067888369	0.409968856837918	0.448863304471645	0.529851428411035	1.80823964589056	2.03899129911174
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QM	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QM	L	0.456834353595308	0.45682448999976	0.0358048178448101	0.38643403852456	0.398569522902985	0.516217730451806	0.527766912407582
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QS	A	0.929015799149713	0.900477509462645	0.310340138114152	0.409504899416918	0.484393130787808	1.48522598217542	1.63076060094749
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QS	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QS	L	0.37359262474787	0.372471796173323	0.0396414321247972	0.299000207169867	0.310106982415698	0.440407044977123	0.45503752997608
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QV	A	0.967208334827445	0.931023547979234	0.330420944807393	0.457727632387103	0.513123266636171	1.54834793890733	1.7199547769338
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QV	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_B.QV	L	0.22972538804944	0.229494762409634	0.0209558377394403	0.189225931848477	0.195742076254858	0.264286908351398	0.2713336190843
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.CJ	A	1.19326642166782	1.16467334776053	0.289827815345013	0.714124850063407	0.771136698007364	1.71533301837881	1.84741251970811
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.CJ	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.CJ	L	0.235143448223264	0.234224458812922	0.0266439658437605	0.184854593374449	0.192570704903379	0.280120261525667	0.289849305819291
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.CO	A	1.37710727461373	1.33596244620029	0.346380214175403	0.816628765017341	0.892131173976469	1.99303964924911	2.17763120157715
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.CO	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.CO	L	0.24088109947785	0.239719150789118	0.0260912630621188	0.192990095434491	0.200105395405674	0.285675620281559	0.294883475094264
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.LL	A	1.13022833907396	1.10942654411553	0.245768448547901	0.706640794003956	0.764247715372942	1.57185035421567	1.6784919047837
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.LL	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.LL	L	0.246070584910591	0.24583800703042	0.0210241686277748	0.206003217112817	0.21236144744088	0.281564733662511	0.288962895660772
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PD	A	0.991145851540166	0.975211567258031	0.201676946141229	0.645199104786495	0.690897458052149	1.35196551608768	1.43245214852042
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PD	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PD	L	0.268633565078252	0.268887570575066	0.0204713659287835	0.228302306661516	0.234455779950841	0.302351874054087	0.308380123675946
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PDe	A	2.31215512161973	2.25484727898194	0.490685033112033	1.52346976380192	1.61225097619252	3.20526988078668	3.42121451682345
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PDe	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PDe	L	0.204304197208027	0.202665274289224	0.0297134468354012	0.151081146730711	0.158427581686729	0.256074565218568	0.267402327955723
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PK	A	1.68855633383253	1.61895677119775	0.480236412119524	0.96078582740819	1.03723119263986	2.56928069728102	2.8387075479784
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PK	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PK	L	0.557120723888794	0.556750348187606	0.0535658394197859	0.454305709132328	0.470989596170692	0.64438098383428	0.661844771273254
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PR	A	1.26736440739792	1.23122375653378	0.297552898160301	0.785539162113131	0.851365838728575	1.80058890303859	1.9614060560235
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PR	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PR	L	0.185660228959353	0.185651445928922	0.0240995092103892	0.137383727176874	0.145048850873604	0.224456191681186	0.232212232032668
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PT	A	1.0679252201205	1.03797314813425	0.302270535371225	0.560279939005891	0.625326084368687	1.61000894521101	1.75241940100229
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	befa.st	group	mono_N.PT	k	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862
