model	model_structure	hierarchy	k_depth	family	response	n	observed_mean	predicted_mean	mean_residual	mean_abs_error	rmse	residual_sd	lm_intercept_observed_vs_predicted	lm_slope_observed_vs_predicted	lm_r2_observed_vs_predicted	correlation_observed_predicted
sp_k0_gamma	sp_k0	sp	k0	gamma	befa.st	1132	1.44106132803971	1.4402791168906	0.000782211149118021	0.175879474476812	0.25765396197014	0.257766654295718	-0.0555327297349917	1.0391000190336	0.475764307411341	0.68975670160669
sp_k1_gamma	sp_k1	sp	k1	gamma	befa.st	1132	1.44106132803971	1.43993824957431	0.0011230784654004	0.174878119724475	0.256753802074979	0.256864827072329	-0.0780376339127472	1.0549750743836	0.48006074984337	0.692864164063471
base_k0_gamma	base_k0	base	k0	gamma	befr.st	524	0.442216609003624	0.442566192967952	-0.000349583964328477	0.176883713095024	0.265860368602043	0.266114185778535	-0.0357601659110102	1.08001194512669	0.0360155603949286	0.189777660421159
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	befr.st	524	0.442216609003624	0.442679371113466	-0.000462762109841642	0.169985119923675	0.256567229480131	0.256811978767908	-0.00742116395846437	1.01571883015719	0.102071516676728	0.319486332535099
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	befr.st	524	0.442216609003624	0.442695075013924	-0.000478466010300054	0.169816541121041	0.256564100104659	0.256808817563866	-0.0117005434022347	1.02534945163233	0.102131601905113	0.319580352814614
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	524	0.442216609003624	0.442159300191726	5.73088118982985e-05	0.145828284433773	0.222646391476556	0.222859137502681	-0.0608555679694877	1.13776228783376	0.328603986314729	0.573239902933081
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	befr.st	524	0.442216609003624	0.442171139294282	4.54697093418752e-05	0.144185976509381	0.21788333231619	0.218091529556675	-0.0764272482621566	1.17294823468929	0.36024119919706	0.600200965674881
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	befr.st	524	0.442216609003624	0.442247525733197	-3.09167295728902e-05	0.144432285913295	0.219761186430663	0.219971180657647	-0.0762878424259655	1.17243041794291	0.3487417186947	0.590543578997097
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befr.st	524	0.442216609003624	0.442770961301064	-0.000554352297439888	0.168032551029023	0.252930707918934	0.253171791930021	-0.0185266768702525	1.04059056745727	0.127516787894094	0.357094928407131
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	befr.st	524	0.442216609003624	0.442255624728309	-3.90157246849119e-05	0.167261788903864	0.252133142576	0.252374069511519	-0.033762765363318	1.07625397564893	0.133483634734304	0.365354122372122
