model	model_structure	hierarchy	k_depth	family	response	response_offset	h1	h2	ftp	PFT	sp_code	application_group	is_best_gamma_model	L_mean	L_median	L_sd	L_q025	L_q05	L_q95	L_q975	A_mean	A_median	A_sd	A_q025	A_q05	A_q95	A_q975	k_mean	k_median	k_sd	k_q025	k_q05	k_q95	k_q975	equation
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.BP	mono_B	NA	BP	mono_B.BP	TRUE	0.243320605484619	0.241238271617932	0.029960236787793	0.191119849871904	0.19786881483936	0.295747758125644	0.30768537433174	0.934171162774147	0.904317831120135	0.263970286709941	0.514857955708573	0.56182132823133	1.40731543470474	1.54347137021124	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.BP	mono_B	NA	BP	mono_B.BP	TRUE	0.339219426765928	0.363085574848575	0.111627128345727	0.0425562150031756	0.0890025771976986	0.479092609058294	0.497627736170954	0.353092740169654	0.332749898846387	0.166638694790037	0.0853189278440643	0.116849566191828	0.6783840722269	0.747803705256214	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.CJa	mono_B	NA	CJa	mono_B.CJa	TRUE	0.720346357129757	0.711039930302278	0.0980906387882838	0.554433121437356	0.575145249686366	0.893854172480678	0.934968368016513	1.07005235779988	0.97008083169758	0.523844601143974	0.385231776988196	0.466237387280711	1.97899506072207	2.36677020258822	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.CJa	mono_B	NA	CJa	mono_B.CJa	TRUE	0.451690678428131	0.477458402229156	0.151309690456612	0.0475532035291685	0.110075558687139	0.652590195512921	0.688296989317023	0.47617824136658	0.385466489050818	0.375952300662975	0.0969615968559599	0.135270042832413	1.05141637513059	1.22642039939627	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.CL	mono_B	NA	CL	mono_B.CL	TRUE	0.541482659310218	0.538213849221089	0.0678429173619403	0.414110063999778	0.43546810048107	0.65861612114071	0.685007615082148	0.979024997706736	0.919811958242087	0.402759313388802	0.378351931524345	0.445598591987732	1.71963509664459	1.95856071581597	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.CL	mono_B	NA	CL	mono_B.CL	TRUE	0.259268035751293	0.273133408255303	0.108012744790586	0.0285533687449133	0.0555627801843715	0.415528020956848	0.434286126755979	0.368609567304948	0.356470928133586	0.167106915014114	0.0963309050326608	0.131650348440712	0.621098338088023	0.701060725301104	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.CS	mono_B	NA	CS	mono_B.CS	TRUE	0.281324520317963	0.279946122632529	0.0278938278225654	0.231014385850575	0.237843700056708	0.328953405479508	0.339278223351797	1.02484981154518	0.962119978399174	0.413888329656151	0.417889268827566	0.488914369798584	1.77141788502032	2.00457640635772	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.CS	mono_B	NA	CS	mono_B.CS	TRUE	0.455925462358325	0.488438844956566	0.178171457863481	0.0390016467679098	0.0799653206944923	0.697665181023285	0.739996902747771	0.846703533833878	0.631733759704162	0.944832688339269	0.195842745037446	0.239765864549081	2.08065290491938	2.68767560967514	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befa.st	1	mono_B	mono_B.LT	mono_B	NA	LT	mono_B.LT	TRUE	0.150698737699172	0.149356909752036	0.0197123548558343	0.115507504934541	0.120079812288352	0.184722111413001	0.192110108368182	1.29441029549261	1.20250395702436	0.507967466657435	0.58294005370702	0.66329625755823	2.23788572405873	2.57393324287921	6.92212549047735	6.89114290446141	0.7944944625548	5.43796243082216	5.66657824388115	8.28599740105341	8.55759461445862	befa.st = 1 + L + A * exp(-k * rsd)
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	0	mono_B	mono_B.LT	mono_B	NA	LT	mono_B.LT	TRUE	0.168730503027648	0.178475173763964	0.0730611784805926	0.0209609336690994	0.0372877221911926	0.27585142700572	0.291879761969626	0.366053557332323	0.34338540898313	0.198494744790243	0.121763995834343	0.158595624822192	0.641202981497336	0.802945517438382	2.11698821226037	1.7477779710063	1.29823007491913	0.647286472384214	0.726157532241934	4.60658844769267	5.35491156065574	befr.st = L + A * exp(-k * rsd)
