model	model_structure	hierarchy	k_depth	family	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
ftp_k0_gamma	ftp_k0	ftp	k0	gamma	befr.st	524	0.442216609003624	0.407721168673495	0.0344954403301287	0.25952976941839	0.74643062996008	0.0896946564885496	0.0896946564885496	0.0477099236641221
ftp_k1_gamma	ftp_k1	ftp	k1	gamma	befr.st	524	0.442216609003624	0.407450039700942	0.0347665693026817	0.25896547371238	0.743211202221558	0.0935114503816794	0.0935114503816794	0.0515267175572519
ftp_sp_k0_gamma	ftp_sp_k0	ftp_sp	k0	gamma	befr.st	524	0.442216609003624	0.412754859387198	0.0294617496164263	0.225820293198542	0.709652850114196	0.0725190839694656	0.0706106870229008	0.0362595419847328
ftp_sp_k1_gamma	ftp_sp_k1	ftp_sp	k1	gamma	befr.st	524	0.442216609003624	0.41351711363665	0.0286994953669741	0.22190472640864	0.703367601094741	0.0648854961832061	0.0648854961832061	0.0343511450381679
ftp_sp_k2_gamma	ftp_sp_k2	ftp_sp	k2	gamma	befr.st	524	0.442216609003624	0.413203681616108	0.0290129273875157	0.224682592074572	0.701563222963339	0.066793893129771	0.066793893129771	0.0343511450381679
PFT_k0_gamma	PFT_k0	PFT	k0	gamma	befr.st	524	0.442216609003624	0.407172205122162	0.0350444038814621	0.255907340975272	0.740498010028961	0.083969465648855	0.083969465648855	0.0477099236641221
PFT_k1_gamma	PFT_k1	PFT	k1	gamma	befr.st	524	0.442216609003624	0.407144700408468	0.0350719085951562	0.254426284191385	0.739348412584758	0.0858778625954199	0.0820610687022901	0.0438931297709924
PFT_sp_k0_gamma	PFT_sp_k0	PFT_sp	k0	gamma	befr.st	524	0.442216609003624	0.413482336539432	0.0287342724641922	0.22621160105625	0.714665375623165	0.0725190839694656	0.0706106870229008	0.0362595419847328
PFT_sp_k1_gamma	PFT_sp_k1	PFT_sp	k1	gamma	befr.st	524	0.442216609003624	0.413030462973025	0.0291861460305995	0.223462356102064	0.709326810713067	0.066793893129771	0.066793893129771	0.0362595419847328
PFT_sp_k2_gamma	PFT_sp_k2	PFT_sp	k2	gamma	befr.st	524	0.442216609003624	0.413026065559841	0.0291905434437828	0.225991980720524	0.706021441126146	0.066793893129771	0.066793893129771	0.032442748091603
sp_k0_gamma	sp_k0	sp	k0	gamma	befr.st	524	0.442216609003624	0.413357834953563	0.028858774050061	0.22622308093602	0.712090169269458	0.0725190839694656	0.0706106870229008	0.0343511450381679
sp_k1_gamma	sp_k1	sp	k1	gamma	befr.st	524	0.442216609003624	0.412456699046048	0.0297599099575755	0.226133111352172	0.709551402006758	0.0725190839694656	0.0725190839694656	0.0286259541984733
