stand_id	sp_code	plot	age	d	h	Bst	Bbr	Bf	Bcr	Vst	Vst.5	ba	befa.v	befa.st	beft.v	beft.st	bwd	PFT	Genus	Family	ft1.forest_type	ft1.dominant_prop	sdi	sdi.1	sdi.2	sdi.3	sdi_max	rsd	rsd.1	rsd.2
1	QAt	6	24	0.097	8.9	21.913	9.585	1.9	6.674	0.03328	0.027728	0.00738981131940659	1003.54567307692	1.52411810340894	1204.08653846154	1.82868616802811	0.658443509615385	EBF	Quercus	Fagaceae	mono_B	1	316.451197926403	316.451197926403	NA	NA	1297.09365575481	0.243969428516133	0.243969428516134	NA
1	QAt	6	31	0.154	10	54.35	21.741	2.54	21.083	0.092256	0.077657	0.0186265028431339	852.313128685397	1.4467525298988	1080.84027055151	1.83466421343146	0.589121574748526	EBF	Quercus	Fagaceae	mono_B	1	316.451197926403	316.451197926403	NA	NA	1297.09365575481	0.243969428516133	0.243969428516134	NA
1	QAt	6	50	0.229	13.6	160.724	106.28	7.621	60.21	0.251747	0.222334	0.0411870650867256	1090.8769518604	1.70867449789702	1330.04564106027	2.08329185435903	0.638434618883244	EBF	Quercus	Fagaceae	mono_B	1	316.451197926403	316.451197926403	NA	NA	1297.09365575481	0.243969428516133	0.243969428516134	NA
1	QAt	6	36	0.203	11.9	71.586	27.453	5.523	20.076	0.198697	0.163839	0.0323654729154454	526.238443459136	1.46064873019864	627.276707750998	1.74109462744112	0.360277205997071	EBF	Quercus	Fagaceae	mono_B	1	316.451197926403	316.451197926403	NA	NA	1297.09365575481	0.243969428516133	0.243969428516134	NA
1	QAt	6	56	0.356	14.5	416.734	462.556	43.753	128.963	0.553208	0.498856	0.099538221636339	1668.52793162789	2.2149452648452	1901.64639701523	2.52440645591672	0.753304362915937	EBF	Quercus	Fagaceae	mono_B	1	316.451197926403	316.451197926403	NA	NA	1297.09365575481	0.243969428516133	0.243969428516134	NA
10	PK	3	42	0.232	15.3	153.803	44.485	21.566	73.989	0.343742	0.320752	0.0422732707467043	639.59015773458	1.42945196127514	854.835894362633	1.91051539956958	0.44743732217768	ENF	Pinus	Pinaceae	mono_N	1	383.032547325573	383.032547325573	NA	NA	375.5306229599	1.01997686448722	1.01997686448723	NA
10	PK	3	43	0.136	10	36.271	12.851	8.326	11.899	0.075424	0.066212	0.0145267244301992	761.667373780229	1.58385487028204	919.42882901994	1.91191309861873	0.480894675434875	ENF	Pinus	Pinaceae	mono_N	1	383.032547325573	383.032547325573	NA	NA	375.5306229599	1.01997686448722	1.01997686448723	NA
10	PK	3	42	0.155	11.1	41.69	13.57	8.479	13.043	0.099736	0.084583	0.0188691908756237	639.0771637122	1.52887982729671	769.852410363359	1.84173662748861	0.418003529317398	ENF	Pinus	Pinaceae	mono_N	1	383.032547325573	383.032547325573	NA	NA	375.5306229599	1.01997686448722	1.01997686448723	NA
10	PK	3	42	0.186	14.4	91.503	24.278	17.76	33.513	0.210784	0.192741	0.0271716348608981	633.544291786853	1.45941663114871	792.536435403067	1.82566691802455	0.43410790192804	ENF	Pinus	Pinaceae	mono_N	1	383.032547325573	383.032547325573	NA	NA	375.5306229599	1.01997686448722	1.01997686448723	NA
10	PK	3	40	0.28	16	203.09	43.947	27.439	72.026	0.4933	0.45376	0.06157521601036	556.40786539631	1.35149933527008	702.4163794851	1.70614998276626	0.411696736265964	ENF	Pinus	Pinaceae	mono_N	1	383.032547325573	383.032547325573	NA	NA	375.5306229599	1.01997686448722	1.01997686448723	NA
100	QV	9	47	0.226	14.2	203.739	22.834	9.306	70.626	0.296705	0.483021	0.0401149965936881	794.995028732243	1.15775084789854	1033.02944001618	1.50440023755884	0.686671946883268	DBF	Quercus	Fagaceae	mono_B	1	200.782419897509	200.782419897509	NA	NA	411.843109734268	0.487521619645548	0.487521619645548	NA
100	QV	9	50	0.256	14.5	169.877	108.997	7.398	NA	0.335708	0.587949	0.0514718540364152	852.741072598806	1.68517221283635	NA	NA	0.506026070275358	DBF	Quercus	Fagaceae	mono_B	1	200.782419897509	200.782419897509	NA	NA	411.843109734268	0.487521619645548	0.487521619645548	NA
100	QV	9	44	0.14	13.2	58.845	10.524	2.655	38.032	0.100444	0.460233	0.01539380400259	717.056270160487	1.22396125414224	1095.69511369519	1.87026935168663	0.585848831189518	DBF	Quercus	Fagaceae	mono_B	1	200.782419897509	200.782419897509	NA	NA	411.843109734268	0.487521619645548	0.487521619645548	NA
100	QV	9	47	0.195	13.7	116.117	82.271	5.983	NA	0.199955	0.51774	0.029864765163188	1022.08496911805	1.76004374897732	NA	NA	0.58071566102373	DBF	Quercus	Fagaceae	mono_B	1	200.782419897509	200.782419897509	NA	NA	411.843109734268	0.487521619645548	0.487521619645548	NA
100	QV	9	49	0.145	14.4	66.904	25.384	2.902	NA	0.112697	0.36725	0.0165129963854313	844.654249891301	1.42278488580653	NA	NA	0.593662652954382	DBF	Quercus	Fagaceae	mono_B	1	200.782419897509	200.782419897509	NA	NA	411.843109734268	0.487521619645548	0.487521619645548	NA
1001	QAt	1	NA	0.048	9.9	6.086	0	0.242	NA	0.00717	NA	0.00180955736846772	882.566248256625	1.03976339139008	NA	NA	0.84881450488145	EBF	Quercus	Fagaceae	mono_B	0.961367150238378	590.605871444352	482.749911133959	59.3307436943123	26.2583283219624	1297.09365575481	0.455330167427783	0.3721781453422	0.0457412951108657
1001	QAt	1	NA	0.18	14.1	106.149	36.508	10.409	NA	0.135287	NA	0.0254469004940773	1131.41691367242	1.4419919170223	NA	NA	0.784620843096528	EBF	Quercus	Fagaceae	mono_B	0.961367150238378	590.605871444352	482.749911133959	59.3307436943123	26.2583283219624	1297.09365575481	0.455330167427783	0.3721781453422	0.0457412951108657
