sp_code	stand_id	plot	no	age	d	h	Bst	Bbr	Bf	Bcr	wd	Vst	Vst.5	ba	befa.v	befa.st	beft.v	beft.st	bwd	species	PFT	Genus	Family
BP	51	4	4	30	0.238	17	168.379	41.437	7.644	65.382	0.501	0.334982	0.302125	0.044488093567485	649.169209091832	1.2914912192138	844.349845663349	1.67979379851407	0.502650888704468	Betula_platyphylla	DBF	Betula	Betulaceae
BP	51	4	5	29	0.234	18	192.585	37.104	5.291	83.356	0.553	0.353441	0.311875	0.0430052618349907	664.835149289415	1.22013656307604	900.676491974615	1.65296362645066	0.544885850820929	Betula_platyphylla	DBF	Betula	Betulaceae
BP	58	1	1	22	0.104	14.9	30.143	3.606	0.818	NA	0.461	0.06181	0.053556	0.0084948665353068	559.24607668662	1.14676707693328	NA	NA	0.487671897751173	Betula_platyphylla	DBF	Betula	Betulaceae
CJ	112	2	1	18	0.077	7.2	9.132	4.635	1.852	NA	0.456	0.019196	0.042355	0.00465662571078347	813.659095644926	1.71035917652212	NA	NA	0.475724109189414	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	112	2	5	18	0.159	9.5	34.625	6.785	20.79	NA	0.389	0.085624	0.197853	0.0198556509688509	726.431841539755	1.79638989169675	NA	NA	0.404384284779968	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	38	1	4	36	0.253	15.2	135.675	28.401	26.38	NA	0.393	0.334661	0.316059	0.0502725510409073	569.101269643012	1.40376635341809	NA	NA	0.405410250970385	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	82	10	5	37	0.301	18.5	224.31	28.491	16.973	NA	0.354	0.627336	1.703832	0.0711578590019722	430.031115701952	1.20268378583211	NA	NA	0.357559585294005	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	112	2	4	16	0.15	9.3	30.501	6.153	13	14.995	0.379	0.078977	0.147375	0.0176714586764426	628.714689086696	1.62794662470083	818.58009293845	2.11956985016885	0.386201045874115	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	112	2	3	18	0.153	9.6	36.393	7.864	13.006	NA	0.391	0.0923	0.094257	0.0183853856069709	620.400866738895	1.57346192949194	NA	NA	0.394290357529794	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	1023	1	4	50	0.375	14.9	206.15	57.196	40.878	NA	0.2067	0.983396	NA	0.110446616727766	309.360623797534	1.47574096531652	NA	NA	0.209630708280286	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	83	11	1	69	0.337	22.6	133.787	32.253	16.547	58.514	0.145	0.916282	0.718504	0.0891968840188848	199.269438884536	1.36475890781616	263.129691514185	1.80212576707752	0.146010725955546	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	1022	1	1	50	0.224	18.1	148	13.056	17.404	NA	0.2704	0.534017	NA	0.0394081382466304	334.18411773408	1.20581081081081	NA	NA	0.277144735092703	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	1022	1	2	54	0.237	15	133.99	29.415	34.099	NA	0.2538	0.537253	NA	0.0441150294398713	367.618235728791	1.47402044928726	NA	NA	0.249398328161965	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	1023	1	5	42	0.202	10.7	58.4	13.917	16.287	NA	0.1894	0.296899	NA	0.0320473866592695	298.431453120421	1.51719178082192	NA	NA	0.196699887840646	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	82	10	3	37	0.257	18.1	151.368	17.838	15.035	NA	0.344	0.438892	0.60555	0.0518747632942381	419.786644550368	1.21717271814386	NA	NA	0.344886669157788	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	112	2	2	18	0.099	7.4	13.321	4.414	9.776	7.432	0.373	0.034129	0.050865	0.00769768739945839	806.088663599871	2.06523534269199	1023.85068416889	2.62315141505893	0.390313223358434	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	111	4	5	46	0.327	18.1	183.777	20.894	42.475	NA	0.307	0.591918	0.085836	0.0839818402139258	417.534185478394	1.34481463948155	NA	NA	0.310477126899334	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	85	8	5	18	0.148	9.6	31.706	8.794	6.894	10.368	0.348	0.085907	1.204747	0.0172033613710577	551.689617842551	1.49479593767741	672.37826952402	1.8218002901659	0.369073533006623	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	157	7	1	32	0.127	12.1	38.503	7.121	5.003	7.815	0.429	0.085383	0.012828	0.0126676869774374	592.940046613494	1.3148845544503	684.468805265685	1.51785575149988	0.450944567419744	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	82	10	4	37	0.277	18.6	199.776	28.437	17.173	48.729	0.391	0.509811	0.469954	0.0602628156793228	481.327393877339	1.22830570238667	576.909874443666	1.47222389075765	0.391862866827118	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	84	9	3	47	0.302	21.8	298.242	34.037	30.803	NA	0.393	0.759415	0.048401	0.0716314540945009	478.107490634238	1.21740734034777	NA	NA	0.392725979866081	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	84	9	4	46	0.337	22.2	305.428	34.608	19.212	83.738	0.341	0.868133	0.073447	0.0891968840188848	413.81677692243	1.17621174221093	510.274347363826	1.45037783045431	0.351821667878079	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	38	1	5	40	0.325	21.2	444.704	49.954	7.291	NA	0.546	0.798624	0.763396	0.0829576810088555	628.51729975558	1.1287260739728	NA	NA	0.556837760948832	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	84	9	5	46	0.393	23.1	408.127	60.853	32.674	NA	0.347	1.164353	0.082214	0.121303960938572	430.843567199981	1.22916151100025	NA	NA	0.350518270661904	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	85	8	4	18	0.137	9.6	29.953	4.676	4.749	6.837	0.354	0.078148	0.948682	0.0147411381288067	503.890054767876	1.3146596334257	591.377898346727	1.54291723700464	0.383285560730921	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	1023	1	3	47	0.257	12.7	108.9	23.363	24.916	NA	0.226	0.488758	NA	0.0518747632942381	321.588598038293	1.44333333333333	NA	NA	0.222809652220526	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	111	4	4	53	0.23	17.4	179.456	13.327	28.05	57.859	0.44	0.413419	0.079415	0.041547562843725	534.162677574083	1.23056905313837	674.115122914041	1.55298234664765	0.434077775815819	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	109	6	3	36	0.223	16	85.428	14.743	12.248	NA	0.321	0.260166	0.173433	0.0390570652675917	432.104886879915	1.31595027391488	NA	NA	0.32835958580291	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	109	6	2	38	0.191	15.9	82.442	21.409	31.996	38.163	0.345	0.233721	0.123387	0.0286521103989023	581.235746894802	1.64778874845346	744.520175765122	2.11069600446374	0.352736810128315	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	109	6	4	46	0.265	18.2	143.429	25.308	41.185	50.344	0.295	0.470836	0.25421	0.0551545860245858	445.849510232862	1.46359522830111	552.774214376131	1.8145981635513	0.304626239285016	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
CJ	84	9	1	47	0.251	21.6	181.71	16.811	9.237	NA	0.365	0.490462	0.02248	0.0494808696922026	423.59652735584	1.14334929282923	NA	NA	0.370487417985491	Cryptomeria_japonica	ENF	Cryptomeria	Cupressaceae
