model	model_structure	family	response	n	observed_mean	yrep_median_mean	mean_residual	rmse	mean_abs_std_residual	prop_outside_yrep90	prop_pp_twotail_lt_0.10	prop_pp_twotail_lt_0.05
ftp_sp_k1_gamma	ftp_sp_k1	gamma	befr.st	524	0.442216609003624	0.413158209221206	0.0290583997824183	0.221866797061702	0.704475640650701	0.0706106870229008	0.0706106870229008	0.0362595419847328
ftp_sp_k1_lognormal	ftp_sp_k1	lognormal	befr.st	524	0.442216609003624	1.00507179649245	-0.56285518748883	0.625791922242045	0.216041157780976	0.049618320610687	0.0438931297709924	0.0190839694656489
ftp_sp_k1_student	ftp_sp_k1	student	befr.st	524	0.442216609003624	1.00347446001245	-0.561257851008824	0.623859123951077	0.191931182758959	0.049618320610687	0.0477099236641221	0.0229007633587786
ftp_sp_k2_gamma	ftp_sp_k2	gamma	befr.st	524	0.442216609003624	0.412904701707972	0.0293119072956523	0.224298563147223	0.702274910571542	0.0706106870229008	0.0687022900763359	0.0343511450381679
ftp_sp_k2_lognormal	ftp_sp_k2	lognormal	befr.st	524	0.442216609003624	1.0031595606849	-0.56094295168128	0.622763974088586	0.216820506227174	0.0477099236641221	0.0477099236641221	0.0209923664122137
ftp_sp_k2_student	ftp_sp_k2	student	befr.st	524	0.442216609003624	1.00521099822282	-0.562994389219195	0.625876372048497	0.19479184996384	0.049618320610687	0.0438931297709924	0.0190839694656489
PFT_k0_student	PFT_k0	student	befr.st	524	0.442216609003624	1.01167348508886	-0.56945687608524	0.631654256863434	0.194701925054834	0.0419847328244275	0.0400763358778626	0.0190839694656489
PFT_k1_student	PFT_k1	student	befr.st	524	0.442216609003624	1.00437252034902	-0.562155911345397	0.626386949044479	0.197407831889835	0.0419847328244275	0.0419847328244275	0.0190839694656489
PFT_sp_k0_student	PFT_sp_k0	student	befr.st	524	0.442216609003624	1.00759788987999	-0.565381280876362	0.627716199100146	0.196279150406298	0.0438931297709924	0.0419847328244275	0.0190839694656489
PFT_sp_k1_student	PFT_sp_k1	student	befr.st	524	0.442216609003624	1.00651867081341	-0.564302061809783	0.625823261846298	0.195875570290521	0.0477099236641221	0.0477099236641221	0.0190839694656489
PFT_sp_k2_student	PFT_sp_k2	student	befr.st	524	0.442216609003624	1.00721662564692	-0.565000016643298	0.627045170493771	0.189542221313444	0.0477099236641221	0.0477099236641221	0.0190839694656489
sp_k0_gamma	sp_k0	gamma	befr.st	524	0.442216609003624	0.413341971825535	0.0288746371780889	0.225149628426207	0.712896989168198	0.0725190839694656	0.0725190839694656	0.0343511450381679
sp_k0_lognormal	sp_k0	lognormal	befr.st	524	0.442216609003624	1.0168621702073	-0.574645561203678	0.637020622948297	0.212117513618138	0.0515267175572519	0.0515267175572519	0.0190839694656489
sp_k0_student	sp_k0	student	befr.st	524	0.442216609003624	1.02091475224333	-0.578698143239703	0.638730439797535	0.187844018165095	0.0458015267175573	0.0458015267175573	0.0190839694656489
sp_k1_gamma	sp_k1	gamma	befr.st	524	0.442216609003624	0.413213293673471	0.029003315330153	0.226225794944937	0.707783938683114	0.0725190839694656	0.0706106870229008	0.0362595419847328
sp_k1_lognormal	sp_k1	lognormal	befr.st	524	0.442216609003624	1.01744681480166	-0.575230205798036	0.637671687826582	0.213437221877091	0.0458015267175573	0.0458015267175573	0.0190839694656489
sp_k1_student	sp_k1	student	befr.st	524	0.442216609003624	1.01936463952572	-0.577148030522093	0.639520516283908	0.1912360873636	0.0419847328244275	0.0400763358778626	0.017175572519084
