model	model_structure	family	elpd_loo	p_loo	looic	n	n_pareto_k_gt_0.7	n_pareto_k_gt_1.0	max_pareto_k	elpd_diff_from_best	looic_diff_from_best	elpd_diff_from_structure_best	looic_diff_from_structure_best
ftp_sp_k0_gamma	ftp_sp_k0	gamma	426.690804308388	61.8536537458237	-853.381608616777	1656	0	0	0.597846588769804	0	0	0	0
sp_k1_gamma	sp_k1	gamma	426.657359764156	66.0009049617164	-853.314719528312	1656	1	0	0.765412548387542	-0.0334445442323954	0.0668890884647908	0	0
sp_k0_gamma	sp_k0	gamma	426.417862470429	62.8958178984534	-852.835724940858	1656	1	0	0.707991929866815	-0.272941837959479	0.545883675918958	0	0
ftp_sp_k1_gamma	ftp_sp_k1	gamma	425.88554317094	67.5206645578474	-851.77108634188	1656	0	0	0.65099059099273	-0.805261137448497	1.61052227489699	0	0
ftp_sp_k2_gamma	ftp_sp_k2	gamma	425.367188308444	71.6794145996222	-850.734376616887	1656	0	0	0.60931779257653	-1.32361599994476	2.64723199988953	0	0
ftp_k0_gamma	ftp_k0	gamma	149.17810322674	11.8973498278379	-298.35620645348	1656	0	0	0.335795695465015	-277.512701081648	555.025402163296	0	0
ftp_k1_gamma	ftp_k1	gamma	149.12468289435	12.8065917489688	-298.249365788701	1656	0	0	0.341767516166775	-277.566121414038	555.132242828076	0	0
base_k0_gamma	base_k0	gamma	103.961477503671	8.82374726845578	-207.922955007342	1656	0	0	0.224641208445521	-322.729326804717	645.458653609435	0	0
