model	model_structure	family	response	x	predicted_mean	predicted_median	predicted_sd	pred_q025	pred_q05	pred_q10	pred_q25	pred_q50	pred_q75	pred_q90	pred_q95	pred_q975	is_best_comparison_model
base_k0_gamma	base_k0	gamma	befa.st	0.194222807415082	1.60366126618421	1.60304944438497	0.0243361491767198	1.55764692436456	1.56473617227438	1.57299050097899	1.58658816459448	1.60304944438497	1.61967743397401	1.63541727764996	1.6440944540433	1.65238283738914	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.204594377112003	1.582905353669	1.58234858230034	0.0227377024655144	1.53974474422033	1.54671678336181	1.55431435865808	1.56694606154219	1.58234858230034	1.59824982405384	1.61249672057861	1.62075045781924	1.62863554905927	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.214965946808924	1.56395523965443	1.563468793828	0.021346357293172	1.5234080779249	1.529779932146	1.53695702574106	1.54893425152135	1.563468793828	1.57834370304624	1.59188776435982	1.59942528594205	1.60674863137045	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.225337516505845	1.54665194597678	1.54635658798269	0.0201167054969954	1.50840785873376	1.51435067204804	1.52135179837789	1.53265094657604	1.54635658798269	1.56010123961606	1.5728599271875	1.58021238933667	1.58688375584622	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.235709086202767	1.5308506554084	1.53051788357443	0.0190132984916726	1.49484385855203	1.50028468544273	1.50687832798789	1.51750207851239	1.53051788357443	1.54344218153674	1.55568268995326	1.56252968067211	1.5687253876156	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.246080655899688	1.51641943556044	1.5160747670753	0.01800918988657	1.48221799183548	1.48751110329577	1.4936359498194	1.50378037181467	1.5160747670753	1.52830046533525	1.53997179277809	1.54649159522286	1.55239363311535	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.256452225596609	1.5032380791097	1.50279223745544	0.0170844501489905	1.47104034056619	1.47581579781512	1.48154520926671	1.49120700498753	1.50279223745544	1.51457135867768	1.5255433241926	1.5317660500795	1.53739386380856	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.26682379529353	1.49119704962408	1.49072221036594	0.0162247734875419	1.46061334055898	1.46525420814812	1.4706401023092	1.47977449956521	1.49072221036594	1.50198479574211	1.51249137848679	1.51843468576485	1.52371398163746	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.277195364990451	1.48019652326153	1.47975070105234	0.0154202472223629	1.45147825318063	1.45557565371893	1.46061827952024	1.46937740466954	1.47975070105234	1.49043104921783	1.50058265353043	1.50621536725038	1.51077843225641	FALSE
base_k0_gamma	base_k0	gamma	befa.st	0.287566934687373	1.47014551752313	1.46969294133068	0.0146643115013159	1.44281143106908	1.44681807183591	1.45148380955187	1.45986231895176	1.46969294133068	1.47987825462639	1.4894369842343	1.49487253614776	1.49911328994788	FALSE
