model	model_structure	family	response	x	predicted	pred_q05	pred_q95
base_k0_gamma	base_k0	gamma	befa.st	0.00753455287049989	2.60258361044639	2.28711283429751	2.98375666741663
base_k0_gamma	base_k0	gamma	befa.st	0.0179061225674211	2.49372519204987	2.21688853228285	2.82391447088064
base_k0_gamma	base_k0	gamma	befa.st	0.0282776922643423	2.39453609177087	2.15180192532192	2.68070466788882
base_k0_gamma	base_k0	gamma	befa.st	0.0386492619612635	2.3041471503986	2.09160881773032	2.55075080282126
base_k0_gamma	base_k0	gamma	befa.st	0.0490208316581847	2.22176826323384	2.03627190846429	2.4359519170514
base_k0_gamma	base_k0	gamma	befa.st	0.059392401355106	2.14668110500244	1.98489336809304	2.33242802754098
base_k0_gamma	base_k0	gamma	befa.st	0.0697639710520272	2.0782325320993	1.93714531786939	2.2389705555247
base_k0_gamma	base_k0	gamma	befa.st	0.0801355407489484	2.01582859836772	1.89279842184808	2.15463085396124
base_k0_gamma	base_k0	gamma	befa.st	0.0905071104458696	1.95892912669719	1.8506050173114	2.07934479727209
base_k0_gamma	base_k0	gamma	befa.st	0.100878680142791	1.90704278421526	1.81104620842077	2.01121947564947
base_k0_gamma	base_k0	gamma	befa.st	0.111250249839712	1.8597226138127	1.77502304427673	1.95122313412809
base_k0_gamma	base_k0	gamma	befa.st	0.121621819536633	1.8165619792279	1.74132617614173	1.89700558947592
base_k0_gamma	base_k0	gamma	befa.st	0.131993389233554	1.77719088497183	1.71035199620605	1.84870933523887
base_k0_gamma	base_k0	gamma	befa.st	0.142364958930476	1.74127263604206	1.68114016009063	1.8052826234238
base_k0_gamma	base_k0	gamma	befa.st	0.152736528627397	1.70850080568934	1.65391989631691	1.76639074689459
base_k0_gamma	base_k0	gamma	befa.st	0.163108098324318	1.67859648249883	1.62901404343796	1.73029782952901
base_k0_gamma	base_k0	gamma	befa.st	0.173479668021239	1.65130577075983	1.60604091324867	1.6990473626546
base_k0_gamma	base_k0	gamma	befa.st	0.183851237718161	1.62639752055061	1.5847151053686	1.67031586330139
base_k0_gamma	base_k0	gamma	befa.st	0.194222807415082	1.60366126618421	1.56473617227438	1.6440944540433
base_k0_gamma	base_k0	gamma	befa.st	0.204594377112003	1.582905353669	1.54671678336181	1.62075045781924
base_k0_gamma	base_k0	gamma	befa.st	0.214965946808924	1.56395523965443	1.529779932146	1.59942528594205
base_k0_gamma	base_k0	gamma	befa.st	0.225337516505845	1.54665194597679	1.51435067204804	1.58021238933667
base_k0_gamma	base_k0	gamma	befa.st	0.235709086202767	1.53085065540841	1.50028468544273	1.56252968067211
base_k0_gamma	base_k0	gamma	befa.st	0.246080655899688	1.51641943556044	1.48751110329577	1.54649159522286
base_k0_gamma	base_k0	gamma	befa.st	0.256452225596609	1.5032380791097	1.47581579781512	1.5317660500795
base_k0_gamma	base_k0	gamma	befa.st	0.26682379529353	1.49119704962408	1.46525420814812	1.51843468576485
base_k0_gamma	base_k0	gamma	befa.st	0.277195364990451	1.48019652326153	1.45557565371893	1.50621536725038
base_k0_gamma	base_k0	gamma	befa.st	0.287566934687373	1.47014551752313	1.44681807183591	1.49487253614776
base_k0_gamma	base_k0	gamma	befa.st	0.297938504384294	1.46096109906171	1.43886335335502	1.48452852212334
base_k0_gamma	base_k0	gamma	befa.st	0.308310074081215	1.45256766329025	1.43160205030418	1.47492643490742
base_k0_gamma	base_k0	gamma	befa.st	0.318681643778136	1.44489627920831	1.42477685725827	1.46626982456172
base_k0_gamma	base_k0	gamma	befa.st	0.329053213475058	1.43788409347453	1.41873418746108	1.45835100129777
base_k0_gamma	base_k0	gamma	befa.st	0.339424783171979	1.4314737883065	1.41320482545702	1.45104990751611
base_k0_gamma	base_k0	gamma	befa.st	0.3497963528689	1.42561308829057	1.40819642756815	1.44435756742831
base_k0_gamma	base_k0	gamma	befa.st	0.360167922565821	1.42025431163818	1.40350576277122	1.4381485966112
base_k0_gamma	base_k0	gamma	befa.st	0.370539492262742	1.41535396183776	1.39917979392199	1.43237789563329
base_k0_gamma	base_k0	gamma	befa.st	0.380911061959664	1.41087235602402	1.39529674755174	1.42705076590787
